Unit,Base,American,British,ANZAC,Soviet,French,German,Italian,Japanese
8.8cm Flak 41,[empty],[empty],[empty],[empty],[empty],1942 Second Edition,[empty],[empty],[added]
75mm Type 88,[empty],[empty],[empty],[empty],[empty],[empty],[empty],1942 Second Edition,[added]
85mm M1939,[empty],[empty],[empty],1942 Second Edition,Europe 1940 Second Edition,[empty],[empty],[empty],[added]
90mm M1,1942 Second Edition,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
L/70 40mm,[empty],[empty],Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Cannone da 90/53,[empty],[empty],[empty],[empty],[empty],[empty],Pacific 1940 Second Edition,[empty],[added]
Transport,Baltic Timber Ship,[empty],[empty],[empty],Europe 1940 Second Edition,Europe 1940 Second Edition,[empty],[empty],[empty]
Fort class,1941,1941,[empty],1941,[empty],[empty],[empty],[empty],[added]
Hakusan Maru class,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Pacific,[added]
Hilfskreuzer,[empty],[empty],[empty],[empty],[empty],Europe,Anniversary,[empty],[added]
Iridio Mantovani,[empty],[empty],[empty],[empty],[empty],[empty],Pacific 1940 Second Edition,[empty],[added]
Liberty ship,Europe,Europe,Pacific 1940,Pacific 1940,Pacific 1940,[empty],[empty],[empty],[added]
Monowai,[empty],[empty],Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Yamazuki Maru class,[empty],[empty],[empty],[empty],[empty],1941,[empty],1941,[added]
Destroyer,Akizuki class,[empty],[empty],[empty],[empty],[empty],1941,[empty],1941
Fubuki class,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Pacific,[added]
Gnevny class,[empty],[empty],[empty],1942,Europe 1940,[empty],[empty],[empty],[added]
Johnston class,Europe,Europe,Pacific 1940,Europe,[empty],[empty],[empty],[empty],[added]
Saumarez,[empty],1942 Second Edition,[empty],[empty],[empty],[empty],[empty],[empty],[added]
Soldati class,[empty],[empty],[empty],[empty],[empty],[empty],Pacific 1940 Second Edition,[empty],[added]
Sumner class,1941,1941,[empty],1941,[empty],[empty],[empty],[empty],[added]
Tribal class,[empty],[empty],Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Zerstörer 1934,[empty],[empty],[empty],[empty],[empty],Europe,Anniversary,[empty],[added]
Submarine,I class,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Pacific
Kaichu class,[empty],[empty],[empty],[empty],[empty],1941,[empty],1941,[added]
Marconi class,[empty],[empty],[empty],[empty],[empty],[empty],Pacific 1940 Second Edition,[empty],[added]
Ray class,Europe,Europe,Pacific 1940,Europe,Europe 1940,[empty],[empty],[empty],[added]
S class,[empty],[empty],Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Srednyaya class,[empty],[empty],[empty],Europe 1940 Second Edition,Europe 1940 Second Edition,[empty],[empty],[empty],[added]
Truculent,[empty],1942 Second Edition,[empty],[empty],[empty],[empty],[empty],[empty],[added]
U class,1941,1941,[empty],1941,[empty],[empty],[empty],[empty],[added]
Type VII,[empty],[empty],[empty],[empty],[empty],Europe,Anniversary,[empty],[added]
Cruiser,Admiral Hipper class,[empty],[empty],[empty],[empty],[empty],Anniversary,Anniversary,[empty]
Kent class,[empty],Anniversary,Pacific 1940,Anniversary,[empty],[empty],[empty],[empty],[added]
Kirov class,[empty],[empty],[empty],1942,Europe 1940,[empty],[empty],[empty],[added]
Portland class,Guadalcanal,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Takao class,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Guadalcanal,[added]
Zara class,[empty],[empty],[empty],[empty],[empty],[empty],Europe 1940 Second Edition,[empty],[added]
Carrier,Akagi,[empty],[empty],[empty],[empty],[empty],1941,[empty],1941
Aquila,[empty],[empty],[empty],[empty],[empty],[empty],Europe 1940 Second Edition,[empty],[added]
Graf Zeppelin,[empty],[empty],[empty],[empty],[empty],Europe,Anniversary,[empty],[added]
Illustrious class,[empty],Europe,Pacific 1940,Europe,Europe 1940,[empty],[empty],[empty],[added]
Kostromitinova class,1941,1941,[empty],1941,[empty],[empty],[empty],[empty],[added]
Majestic class,[empty],[empty],1942 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Shinano,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Pacific,[added]
Wasp,Europe,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Battleship,Bismarck class,[empty],[empty],[empty],[empty],[empty],Europe,Anniversary,[empty]
Gangut class,[empty],[empty],[empty],1942,Europe 1940,[empty],[empty],[empty],[added]
Hood,1941,1941,[empty],1941,[empty],[empty],[empty],[empty],[added]
Iowa class,Europe,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Kongo class,[empty],[empty],[empty],[empty],[empty],1941,[empty],1941,[added]
Littorio class,[empty],[empty],[empty],[empty],[empty],[empty],Europe 1940 Second Edition,[empty],[added]
Royal Oak class,[empty],Europe,Pacific 1940,Europe,[empty],[empty],[empty],[empty],[added]
Warspite,[empty],[empty],1942 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Yamato class,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Pacific,[added]
Fighter,C.202,[empty],[empty],[empty],[empty],[empty],[empty],Europe 1940 Second Edition,[empty]
CA-12,[empty],[empty],Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Fw 190,[empty],[empty],[empty],[empty],[empty],1941,[empty],1941,[added]
Bf 109,[empty],[empty],[empty],[empty],[empty],Anniversary,Anniversary,[empty],[added]
MiG-3,[empty],[empty],[empty],Pacific 1940 Second Edition,Pacific 1940 Second Edition,[empty],[empty],[empty],[added]
P-38 Lightning,Europe,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
P-40 Warhawk,1941,1941,[empty],1941,[empty],[empty],[empty],[empty],[added]
Spitfire,[empty],Europe,Pacific 1940,[empty],[empty],[empty],[empty],[empty],[added]
Stuka,[empty],[empty],[empty],[empty],[empty],Europe,[empty],[empty],[added]
Wildcat,Pacific,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Yak,[empty],[empty],[empty],Europe,Europe 1940,[empty],[empty],[empty],[added]
Zero,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Pacific,[added]
Tactical Bomber,Dauntless,Pacific 1940,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Mosquito,[empty],Pacific 1940,Pacific 1940,[empty],[empty],[empty],[empty],[empty],[added]
SM.79,[empty],[empty],[empty],[empty],[empty],[empty],Europe 1940 Second Edition,[empty],[added]
Stuka,[empty],[empty],[empty],[empty],[empty],Europe 1940,Europe 1940,[empty],[added]
Sturmovik,[empty],[empty],[empty],Europe 1940,Europe 1940,[empty],[empty],[empty],[added]
TB.Mk.I,[empty],[empty],Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Val,[empty],[empty],[empty],[empty],[empty],[empty],[empty],Pacific 1940,[added]
Bomber,B-17,Europe,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Betty,[empty],[empty],[empty],[empty],[empty],[empty],Anniversary,Pacific,[added]
Halifax,[empty],Europe,Pacific 1940,[empty],[empty],[empty],[empty],[empty],[added]
He 111,[empty],[empty],[empty],[empty],[empty],1941,[empty],1941,[added]
Ju 88,[empty],[empty],[empty],[empty],[empty],Europe,Europe 1940,[empty],[added]
Lancaster,1941,1941,[empty],1941,[empty],[empty],[empty],[empty],[added]
P.108,[empty],[empty],[empty],[empty],[empty],[empty],Europe 1940 Second Edition,[empty],[added]
Pe-8,[empty],[empty],[empty],Europe,Europe 1940,[empty],[empty],[empty],[added]
PV-1,[empty],[empty],Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
