Launch system,Country of origin,Class and type,Payload capacity,Maiden flight,Manufacturer,Status,Ref
Kaituozhe-2A,Medium lift expendable launch vehicle,2.000 km (1.200 mi),[empty],[empty],Unconfirmed,Unknown,[added]
Kuaizhou,Kuaizhou 1,China,Small lift expendable launch vehicle,[empty],N/A,430 kg (950 lb) to 500 km (310 mi) (SSO),2013
Kuaizhou-1A,Small lift expendable launch vehicle,300 kg (660 lb),N/A,250 kg (550 lb) to 500 km (310 mi) (SSO) 200 kg (440 lb) to 700 km (430 mi) (SSO),2017,In service,[added]
Kuaizhou-11,Small lift expendable launch vehicle,1.500 kg (3.300 lb),[empty],1.000 kg (2.200 lb) to 700 km (430 mi) (SSO),2019-20 (Planned),Under development,[120]
Kuaizhou-21,Heavy lift expendable launch vehicle,20.000 kg (44.000 lb),[empty],[empty],2025 (Projected),Under development,[118][121]
Kuaizhou-31,Super heavy lift expendable launch vehicle,70.000 kg (150.000 lb),[empty],[empty],TBD,Under development,[added]
Lambda (rocket family),Japan,Small lift expendable launch vehicle,26 kg (57 lb),[empty],[empty],1970,ISAS/Nissan
Long March 1 rocket family,Long March 1,China,Small lift expendable launch vehicle,300 kg (660 lb),N/A,[empty],1970
Long March 1D,Small lift expendable launch vehicle,930 kg (2.050 lb),N/A,[empty],1995,CALT,Retired
Long March 2,Long March 2A,China,Medium lift expendable launch vehicle,2.000 kg (4.400 lb),[empty],[empty],1974
Long March 2C,Medium lift expendable launch vehicle,3.850 kg (8.490 lb),1.250 kg (2.760 lb),1.900 kg (4.200 lb) to SSO,1982,In service,[added]
Long March 2D,Medium lift expendable launch vehicle,3.500 kg (7.700 lb),[empty],1.300 kg (2.900 lb) to SSO,1992,In service,[added]
Long March 2E,Medium lift expendable launch vehicle,9.500 kg (20.900 lb),3.500 kg (7.700 lb),[empty],1990,In service,[added]
Long March 2F,Medium lift expendable launch vehicle,8.400 kg (18.500 lb),[empty],[empty],1990,In service,[added]
Long March 3,Long March 3,China,Medium lift expendable launch vehicle,5.000 kg (11.000 lb),1.500 kg (3.300 lb),[empty],1984
Long March 3A,Medium lift expendable launch vehicle,8.500 kg (18.700 lb),2.600 kg (5.700 lb),1.600 kg (3.500 lb) to HCO,1993,In service,[added]
Long March 3B  3B/E,Medium lift expendable launch vehicle,11.500 kg (25.400 lb),5.100 kg (11.200 lb),3.300 kg (7.300 lb) to HCO 2.000 kg (4.400 lb) to GEO,1996,In service,[added]
Long March 3C  3C/E,Medium lift expendable launch vehicle,[empty],3.900 kg (8.600 lb),2.400 kg (5.300 lb) to HCO,2008,In service,[added]
Long March 4,Long March 4A,China,Medium lift expendable launch vehicle,4.000 kg (8.800 lb),[empty],1.500 kg (3.300 lb) to Sun-synchronous orbit,1988
