Model,Type of device,Brand,Release year,Operating System,OS version,Kernel,UI and version,Comment
Nokia 9210i,Smartphone,Nokia,[empty],Symbian OS,60,[empty],S80 v10,[empty]
Nokia 9290,Smartphone,Nokia,[empty],Symbian OS,[empty],[empty],S80 v10,[empty]
Nokia 9300,Smartphone,Nokia,[empty],Symbian OS,[empty],[empty],S80 v20,[empty]
Nokia 9300i,Smartphone,Nokia,[empty],Symbian OS,[empty],[empty],S80 v20,[empty]
Nokia 9500,Smartphone,Nokia,[empty],Symbian OS,[empty],[empty],S80 v20,[empty]
Nokia C500,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia C501,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia C503,Smartphone,Nokia,2010,Symbian1,94,EKA2,S60 5th Edition  version 5,[empty]
Nokia C600,Smartphone,Nokia,2010,Symbian1,94,EKA2,S60 5th Edition  version 5,[empty]
Nokia C601,Smartphone,Nokia,2010,Symbian3,95,EKA2,Symbian3  version 52,[empty]
Nokia C700,Smartphone,Nokia,2010,Symbian3,95,EKA2,Symbian3  version 52,[empty]
Nokia E500,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia E50,Smartphone,Nokia,[empty],Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
Nokia E51,Smartphone,Nokia,[empty],Symbian OS,92,[empty],S60 3rd Edition  Feature Pack 1  version 31,[empty]
Nokia E52,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia E55,Smartphone,Nokia,[empty],Symbian OS,93,[empty],S60 3rd Edition  Feature Pack 2  version 32,[empty]
Nokia E60,Smartphone,Nokia,[empty],Symbian OS,91,[empty],S60 3rd Edition  version 3,[empty]
