[empty],Description,Creator,First public release date,Latest stable version,Latest Stable Release Date,List Price (USD),Software license
GIMP,Free image editor and graphics creator,Spencer Kimball  Peter Mattis,dts|1996|01,21012,November 8  2018,[empty],free|GNU (L)GPLv3 v27[3]
GimPhoto,Modification of the free and opensource graphics program GNU Image Manipulation Program (GIMP)  with the intent to be a free alternative to Adobe Photoshop,Ek Kian,[empty],143,[empty],[empty],free|GPLv2
GIMPshop,GIMP with a GUI similar to Adobe Photoshop,Scott Moschella,[empty],2211,[empty],[empty],free|GPL
GNU Paint,Free and opensource raster graphics editor,Andy Tai,dts|2007|09|10,033,[empty],[empty],free|GPL
GrafX2,GrafX2 with a GUI similar to Deluxe Paint,Sunset Design (Guillaume Dorme  Karl Maritaud),dts|1996,25,dts|2018|05|19,[empty],free|GPL
GraphicConverter,Image viewer  converter  organizer and editor capable of importing around 200 and exporting 80 different image file types Compatible with many Photoshop plugins,Thorsten Lemke,dts|1992,10,[empty],[empty],proprietary
GraphicsMagick,Commandline image converter and editor,GraphicsMagick Group,dts|2002,1321,[empty],[empty],free|MIT
gThumb,Image viewer and organizer for the GNOME desktop environment,Paolo Bacchilega,dts|2001,340,[empty],[empty],free|GPL3
HDR PhotoStudio,HDR (High Dynamic Range Editor) with human vision imaging model,Unified Color,dts|2009|10,21537,[empty],[empty],proprietary
Helicon Filter,Advanced image editor with a simplified tabbed interface,Helicon Soft Ltd,dts|2004|08,5028,[empty],[empty],proprietary
ImageJ,Image processing program developed at the National Institutes of Health,Wayne Rasband (NIH),dts|1997,146m,[empty],[empty],free|Public Domain
ImageMagick,Command line software suite for displaying  converting  and editing raster image files,ImageMagick Studio LLC,dts|1990,6777,[empty],[empty],free|Apache 20
iPhoto*,Image organizer and basic editor for macOS; replaced by Photos,Apple Inc,dts|2002,96,[empty],[empty],proprietary
IrfanView,Image and video viewer with basic editing functions,Irfan Skiljan,dts|1996,444[4],December 20  2016,[empty],nonfree|Freeware
Iridient Developer,Powerful raw image conversion application designed and optimized for macOS,Iridient Digital,dts|2004,303,[empty],[empty],proprietary
Kolourpaint,[empty],KDE,dts|2004,122,[empty],[empty],free|BSD
Krita,Digital painting oriented free and opensource raster graphic editor with vector support KDE/Calligra based,KDE,dts|2005,422,dts|2019|06|27,[empty],free|GPL
LazPaint,Free multiplatform layered image editor,circular,dts|2011,62,[empty],[empty],free|GPL
LiveQuartz,Basic multilayer photo editor,Romain Piveteau,dts|2005,28,December 1  2018,[empty],proprietary
MacPaint*,Obsolete basic editor,Bill Atkinson,dts|1984,20,[empty],[empty],proprietary
Microsoft Office Picture Manager*,Basic image editor,Microsoft,dts|2002,140,[empty],[empty],proprietary
Microsoft Paint,Basic graphic creator and editor packaged with Microsoft Windows operating systems,Microsoft,dts|1985,61,[empty],[empty],proprietary
Microsoft Photo Editor*,Obsolete basic image editor for Windows,Microsoft,dts|2000,301,[empty],[empty],proprietary
mtPaint,pixel art and photo editing application,Mark Tyler,dts|2004|09|13,340,[empty],free,free|GPL3
MyPaint,Digital painting application,Martin Renold,dts|2005|03|12,121,[empty],free,free|GPL2
OpenCanvas,[empty],Portalgraphics,dts|2000,4,[empty],[empty],proprietary
paintnet,Freeware image editor and graphics creator based on the Net framework,Rick Brewster  et al,dts|2004|05|06,4019 (for Windows 7 SP1 or newer) / 3511 (the last version to support Windows XP),October 2  2017,[empty],nonfree|Freeware[5][6]
Paint Tool SAI*,Simple and lightweight painting software,Systemax Software,dts|2008|02|25,125,dts|2016|04|25,nonfree|~$50 (5500JPY),proprietary
PC Paintbrush*,Obsolete basic editor,ZSoft Corporation,dts|1984,5,[empty],[empty],proprietary
Pencil2D,2D graphical animation software,Pascal Naidon,[empty],044,[empty],[empty],free|GPL
Phatch,Editor for batch processing digital graphics and photographs,Stani Michiels,[empty],027,[empty],[empty],free|GPL
Photogenics,Made to create 32bit HDRs,Idruna Software Inc,dts|1995,HDR 70,[empty],[empty],proprietary
PhotoLine,Image editor with advanced features,Computerinsel (Germany),dts|1995,2053,2018,Ç¨59,proprietary
PhotoPerfect*,Image editor with some advanced features,Arcadia Software AG  Joachim Koopmann Software,dts|2002,29,[empty],[empty],proprietary
Photos,Image organizer and basic editor for macOS; replaced iPhoto from OS X 10103 onwards,Apple Inc,dts|2014,10,[empty],[empty],proprietary
Photo Raster,Advanced online photo editor,David Levinsky,dts|2012,09,[empty],[empty],proprietary
Picasa*,Efficient image organizer with basic editing tools  other image effects,Google,dts|2002,39141259,dts|2015|10|09,Discontinued,nonfree|Freeware
PicMaster,Has 300 filter effects  slide show  poster printing  mosaics  true 3D  more,Alexander Sabov,dts|1999|12,403,[empty],[empty],proprietary
Pinta,Midlevel Free and Open Source raster graphics editor  based on PaintNet,Jonathan Pobst,dts|2010|02|07,15,[empty],[empty],free|MIT
PixBuilder Photo Editor,[empty],WnSoft Graphic Software,dts|2005|06,131,[empty],[empty],proprietary
Pixelmator,Image editor and graphics creator for macOS,Pixelmator Team ltd,dts|2007|09|25,30,[empty],[empty],proprietary
Pixen,Pixel art and sprite editor for macOS,Open Sword Group,[empty],38,[empty],[empty],proprietary
Pixia,Originally designed for Anime/Manga art,Isao Maruoka,dts|1998,470d,[empty],[empty],proprietary
PMview,Fast image viewer with basic editing functions,Peter Nielsen,dts|1992,380 (2017),[empty],[empty],proprietary
Project Dogwaffle,Dan Ritchie retired but others continue active development[7],Dan Ritchie,dts|1997,2011 (70) (12 available as freeware),[empty],[empty],proprietary
QFX,Mature and complete image editing package,Ron Scott,dts|1990,8,[empty],[empty],proprietary
Rawstudio,Raw image processor,Anders Brander & Anders Kvist,dts|2006|06|22,20,[empty],[empty],free|GPL 2
RawTherapee,Powerful free and crossplatform raw image editor  for developing raw photos from digital cameras,Gabor Horvath,dts|2006|09|21,4011,[empty],[empty],free|GPL
Seashore,Basic counterpart to GIMP  using its XCF format; full support for a few graphics formats,Mark Pazolli,dts|2003|01|16,240,[empty],[empty],free|GPLv2
Serif PhotoPlus,Complete editor and photo organizer suite; similar features and menus to other software from Serif; available as economy version or in bundle with clipart  effects  public domain image library; made for easy use,Serif,dts|1999,X8,dts|2015|08|10,[empty],proprietary
Shotwell,Image organizer for GNOME,Yorba Foundation,dts|2009|06|26,0123,[empty],[empty],free|LGPL 21
Tux Paint,Drawing program for young children,Bill Kendrick,dts|2002|06|16,0921,[empty],[empty],free|GPL
TVPaint,2D animation software,Herve ADAM,dts|1991|06|16,9511,[empty],[empty],proprietary
UFRaw,Raw image format processor,Udi Fuchs,[empty],022,[empty],[empty],free|GPL
Ulead PhotoImpact*,[empty],Ulead Systems,[empty],12,[empty],[empty],proprietary
Ultimate Paint*,Basic graphics editor based on Deluxe Paint,Joseph Ladanyi  Daniel Szabo,dts|1998,288,[empty],[empty],proprietary
WinImages,Animationcentric,Black Belt Systems,dts|1985,75,[empty],[empty],proprietary
Xara Photo & Graphic Designer,Graphic design program including photo editing and vector illustration tools,Xara,dts|1995 (Windows),9,[empty],[empty],proprietary
XnView,Crossplatform image viewer used for converting  organising and editing graphical & video files,Pierreemmanuel Gougelet,dts|1998 (106),220 (Windows)/064 (Linux  macOS),[empty],[empty],proprietary
XPaint,Simple Drawing program for Unix/X11 with Xaw3d widgets,David Koblas  Torsten Martinsen  JeanPierre Demailly,dts|1993,29103,[empty],[empty],free|Custom free license
Zoner Photo Studio,Allinone editor package,Zoner Inc,[empty],110 build 8,[empty],[empty],proprietary
