Software,Developer,First public release,Latest stable date (version),Cost (USD),Open source,License,Linux,Mac OS X,Windows,Framework
HashShell,Igor Gresovnik,?,20160608 (16),free,no,freeware,yes,dunno,yes,NET
ilSFV,Jud White,20091026,20110816 (110),free,yes,freeware,no,no,yes,NET 35
jdigest,gdassieu,20090910,20110605 (030),free,yes,GPL,yes,yes,yes,Java
jHashCalc,Death Master,20071001,20081018 (12),free,yes,GPL,dunno,dunno,dunno,Java
Jacksum,Johann N L√∂fflmann,20020707,20060730 (170),free,yes,GPL,yes,yes,yes,Java
MD5 File Hasher,DigitalTronic,2012,20150818 (1501),free,no,freeware/shareware,no,no,yes,dunno
MD5 & SHA Checksum Utility,Raymond Lin,20130603,21,various,no,freeware/shareware,no,no,yes,NET
md5deep (and HashDeep),Jesse Kornblum,2003,20140129 (44),free,yes,public domain,yes,yes,yes,C
md5sum,various (POSIX),dunno,various,free,yes,various,yes,yesr|group=Note|called_md5_on_mac,yes,dunno
MD5summer,Luke Pascoe,dunno,20060405 (12011),Free,yes,GPL / postcards,no,no,yes,(Delphi 7)
MD5 Win Verifier,Serafino Sorleti,20140306,20140619 (1105),free,no,freeware,no,no,yes,NET
PeaZip,Giorgio Tani,20060916,20191201 (700),free,yes,LGPL,yes,no,yes,Free Pascal
QuickSFV,Mercedes,19991122,20080313 (236),Free,no,freeware,yes,no,yes,dunno
RapidCRC,dunno,2004,20050205 (061),Free,yes,GPL,no,no,yes,dunno
RekSFV,TryAndError  Inc,2006,20190223 (v181),Free,no,freeware,no,no,yes,VCL
RHash,Aleksey (Akademgorodok),dunno,20190209 (v138),Free,yes,freeware,yes,no,yes,C
SafeFileManager,Mindbytez Software,201211,20180827 (v12),Free,no,freeware,yes,no,yes,Java
Sigcheck,Mark Russinovich (Sysinternals  Microsoft),?,20160729 (v253),Free,no,freeware / Licensing FAQ,no,no,yes,?
SFV Checker,Traction Software,dunno,20180813 (204),various,no,proprietary,no,no,yes,dunno
sha1sum,various (POSIX),dunno,various,free,yes,various,yes,yes,yes,dunno
sha3sum,various (POSIX),dunno,various,free,yes,various,yes,yes,yes,Perl
SuperSFV,Thomas Dixon,dunno,12,free,yes,GPL,no,yes,no,dunno
TeraCopy,Code Sector,2007,20170223 (v30),various,no,freeware/shareware,no,yes,yes,Swift  Delphi
Tom's Hash Explorer,Tom Andreas Mannerud,2016,20160819 (1200),free,no,freeware,no,no,yes,NET
Toolsley Hash & Validate,Toolsleycom,2014,various,free,no,freeware/shareware,yes,yes,yes,dunno
Total Commander,Christian Ghisler,20100617,20190314 (922),no|CHF40  Ç¨37  US$4179,no,proprietary,no,no,yes,Delphi
WinHasher,Jeffrey T Darlington,20070926,20130802 (v16267),free,yes,GPL,no,no,yes,NET 20
wxChecksums,Julien Couot,2003,20060304 (v122),free,yes,GPL,yes,dunno,yes,GTK
Software,Developer,First public release,Latest stable date (version),Cost (USD),Open source,License,Linux,Mac OS X,Windows,Framework
