Engine,Origin,Designer,Vehicle,Use,Propellant,Specific impulse (s),Thrust (N),Mass (kg),Thrust:weight ratio,Chamber pressure (bar),Oxidiser:fuel ratio
RD-180,[empty],NPO Energomash,Atlas V Atlas III,1st,RP-1?/?LOX,<ref name="RD-180"></ref> (SL),(SL),[empty],[empty],[empty],2.72
RD-181,[empty],NPO Energomash,Antares 200,1st,RP-1?/?LOX,<ref>http://spaceflight101.com/spacerockets/antares-200-series/</ref> (SL),(SL),[empty],[empty],[empty],[empty]
RD-191,[empty],NPO Energomash,Angara,1st,RP-1?/?LOX,<ref name="RD-191"></ref> (SL),(SL),[empty],[empty],[empty],[empty]
RD-193,[empty],NPO Energomash,Soyuz-2-1v,1st,RP-1?/?LOX,<ref name="RD-193 Engine"></ref>,(SL),[empty],[empty],[empty],[empty]
RD-276 14Д14М,[empty],NPO Energomash,Proton-M,1st,[[Dinitrogen tetroxide|N2O4]]?/?UDMH,<ref name="RD-276"></ref> (SL),(SL),[empty],[empty],[empty],[empty]
RD-8 11D513,[empty],Pivdenne/Pivdenmash,Zenit,2nd vernier,RP-1?/?LOX,[empty],[empty],[empty],[empty],77.47,2.4
RD-801,[empty],Pivdenne/Pivdenmash,Mayak,1st,RP-1?/?LOX,[empty],, 1.198.000 (SL),[empty],[empty],180,2.65
RD-805 (RD-802),[empty],Pivdenne/Pivdenmash,[empty],Upper,RP-1?/?LOX,[empty],[empty],[empty],[empty],[empty],[empty]
RD-809 (RD-809M),[empty],Pivdenne/Pivdenmash,Antares,Upper,RP-1?/?LOX,[empty],[empty],[empty],[empty],[empty],[empty]
RD-809K,[empty],Pivdenne/Pivdenmash,Mayak,Upper,RP-1?/?LOX,[empty],[empty],[empty],[empty],[empty],[empty]
RD-810,[empty],Pivdenne/Pivdenmash,Mayak  Zenit,1st,RP-1?/?LOX,[empty],1.876.000 (SL),[empty],[empty],180,2.65
RD-843,[empty],Pivdenne/Pivdenmash,Vega,upper,[[Dinitrogen tetroxide|N2O4]]?/?UDMH,315.5,[empty],[empty],[empty],20.4,2.0
RD-861K,[empty],Pivdenne/Pivdenmash,(Cyclone-4M),3rd,[[Dinitrogen tetroxide|N2O4]]?/?UDMH,[empty],[empty],[empty],[empty],[empty],[empty]
Reaver 1<ref name=":1" />,[empty],Firefly Aerospace,Alpha,1st,RP-1?/?LOX,[empty],[empty],[empty],[empty],[empty],[empty]
RL-10A-4-2<ref name=":2"></ref>,[empty],Aerojet Rocketdyne,Atlas IIIB Atlas V,Upper,[[Liquid hydrogen|LH2]]?/?LOX,[empty],[empty],[empty],[empty],42,5.5
RL-10B-2<ref name=":2" />,[empty],Aerojet Rocketdyne,Delta III Delta IV SLS,Upper,[[Liquid hydrogen|LH2]]?/?LOX,[empty],[empty],[empty],[empty],[empty],5.88
RL-10C-1<ref name=":2" />,[empty],Aerojet Rocketdyne,Delta III Delta IV SLS  Vulcan,Upper,[[Liquid hydrogen|LH2]]?/?LOX,[empty],[empty],[empty],[empty],[empty],5.5
