Model,Image processor,Sensor format,Megapixels,Min ISO,Max ISO,Autofocus points,Viewfinder magnification  coverage,Display size  dots (ratio),Touchscreen,Live view,Max FPS,Storage,Release date,Weight (kg),Dimensions  W×H×D (mm),Video,Main battery,Comms
M2,DIGIC 5,APS-C CMOS,18,100,25.600,31 (Max),-,3.0"  1040k 3:2,Fixed,Yes (only),4.6,SDXC (UHS-I),2013Q4,0.274,108.6 × 66.5 × 32.3,1080p30  720p60,LP-E12,[added]
M3,6 DIGIC 6,APS-C CMOS,24.2,100,25.600,49,-,3.0"  1040k 3:2,Tilting,Yes (only),4.2,SDXC (UHS-I),2015Q1,0.366,111 × 68 × 44,1080p30  720p60,LP-E17,[added]
M5,6 DIGIC 7,APS-C CMOS,24.2,100,25.600,49,electronic  2.360k pixels,3.2"  1.62M 3:2,Fixed,Yes,9; 7 with autofocus,SDXC (UHS-I),2016Q4,0.427,115.6 × 89.2 × 60.6,1080p60  720p60,LP-E17,[added]
M6,6 DIGIC 7,APS-C CMOS,24.2,100,25.600,49,-,3.0"  1040k 3:2,Tilting,Yes (only),9; 7 with autofocus,SDXC (UHS-I),2017Q2,0.39,112.0 × 68.0 × 44.5,1080p60  720p60,LP-E17,[added]
M6 MK II,DIGIC 8,APS-C CMOS,32.5,100,25.600,Maximum 143/99 points depending on lens.,None  Optional EVF-DC1 EVF-DC2,3.0"  1040k 3:2,Yes Tilting,Yes,14,SDXC (UHS-II),2019Q3,0.408,119.6 x 70.0 x 49.2 mm,4K30 1080p120,LP-E17,USB-C WiFi HDMI Bluetooth
M50,6 DIGIC 8,APS-C CMOS,24.1,100,51.200,143 (Max),electronic  2.360k pixels,3.0"  1040k 3:2,Articulated,Yes,10; 7.4 with autofocus,SDXC (UHS-I),2018Q2,0.387,116.3 × 88.1 × 58.7,4K25  1080p60  720p120,LP-E12,[added]
M10,6 DIGIC 6,APS-C CMOS,18,100,25.600,49,-,3.0"  1040k 3:2,Tilting,Yes (only),4.6,SD  SDHC or SDXC,2015Q4,0.301,108 × 67 × 35,1080p30  720p60,LP-E12,[added]
M100,6 DIGIC 7,APS-C CMOS,24,100,25.600,49,-,3.0"  1040k 3:2,Tilting,Yes (only),6.1,SD  SDHC or SDXC,2017Q3,0.302,108.2 × 67.1 × 35.1,1080p60  720p60,LP-E12,[added]
M200,6 DIGIC 8,APS-C CMOS,24.1,100,25.600,143 (Max),-,3.0"  1040k 3:2,Tilting,Yes (only),6.1,SD  SDHC or SDXC,2019Q4,0.299,108.2 × 67.1 × 35.1,4K25  1080p60  720p120,LP-E12,[added]
Model,Image processor,Sensor format,Megapixels,Min ISO,Max ISO,Autofocus points,Viewfinder magnification  coverage,Display size  pixels (ratio),Touchscreen,Live view,Max FPS,Storage,Release date,Weight (kg),Dimensions  W×H×D (mm),Video,Main Battery,Comms
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
