Unit,Base,American,British,ANZAC,Soviet,French,German,Italian,Japanese
MiG3,[empty],[empty],[empty],yes|Pacific 1940 Second Edition,yes|Pacific 1940 Second Edition,[empty],[empty],[empty],[added]
P38 Lightning,yes|Europe,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
P40 Warhawk,yes|1941,yes|1941,[empty],yes|1941,[empty],[empty],[empty],[empty],[added]
Spitfire,[empty],yes|Europe,okay|Pacific 1940,[empty],[empty],[empty],[empty],[empty],[added]
Stuka,[empty],[empty],[empty],[empty],[empty],okay|Europe,[empty],[empty],[added]
Wildcat,okay|Pacific,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[added]
Yak,[empty],[empty],[empty],okay|Europe,okay|Europe 1940,[empty],[empty],[empty],[added]
Zero,[empty],[empty],[empty],[empty],[empty],[empty],[empty],yes|Pacific,[added]
Tactical Bomber,Dauntless,yes|Pacific 1940,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Mosquito,[empty],yes|Pacific 1940,okay|Pacific 1940,[empty],[empty],[empty],[empty],[empty],[added]
SM79,[empty],[empty],[empty],[empty],[empty],[empty],yes|Europe 1940 Second Edition,[empty],[added]
Stuka,[empty],[empty],[empty],[empty],[empty],yes|Europe 1940,okay|Europe 1940,[empty],[added]
Sturmovik,[empty],[empty],[empty],yes|Europe 1940,yes|Europe 1940,[empty],[empty],[empty],[added]
TBMkI,[empty],[empty],yes|Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
Val,[empty],[empty],[empty],[empty],[empty],[empty],[empty],yes|Pacific 1940,[added]
Bomber,B17,yes|Europe,[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Betty,[empty],[empty],[empty],[empty],[empty],[empty],okay|Anniversary,yes|Pacific,[added]
Halifax,[empty],yes|Europe,okay|Pacific 1940,[empty],[empty],[empty],[empty],[empty],[added]
He 111,[empty],[empty],[empty],[empty],[empty],yes|1941,[empty],yes|1941,[added]
Ju 88,[empty],[empty],[empty],[empty],[empty],yes|Europe,okay|Europe 1940,[empty],[added]
Lancaster,yes|1941,yes|1941,[empty],yes|1941,[empty],[empty],[empty],[empty],[added]
P108,[empty],[empty],[empty],[empty],[empty],[empty],yes|Europe 1940 Second Edition,[empty],[added]
Pe8,[empty],[empty],[empty],yes|Europe,yes|Europe 1940,[empty],[empty],[empty],[added]
PV1,[empty],[empty],yes|Pacific 1940 Second Edition,[empty],[empty],[empty],[empty],[empty],[added]
