Essence,LR(?),?,Scheme 48,DA|Mixed,external,Yes|All,No,Free  BSD
EtoParse,LL(k),BNF  EBNF or C#,N/A (state machine is runtime generated),DP|Separate,internal,Some|NET Framework,No,Free  MIT
eyapp,LALR(1),?,Perl,DA|Mixed,external or generated,Yes|All,No,Free  Artistic
Frown,LALR(k),?,Haskell 98,DA|Mixed,external,Yes|All,No,Free  GNU GPL
geyacc,LALR(1),?,Eiffel,DA|Mixed,external,Yes|All,No,Free  MIT
GOLD,LALR(1),BNF,x86 assembly language  ANSI C  C#  D  Java  Pascal  Object Pascal  Python  Visual Basic 6  Visual Basic NET  Visual C,DP|Separate,generated,Some|Windows,Yes,Free  zlib modified
GPPG,LALR(1),Yacc,C#,DP|Separate,external,Some|Windows,Yes,Free  BSD
Grammatica,LL(k),BNF dialect,C#  Java,DP|Separate,generated,Some|Java virtual machine,No,Free  BSD
HiLexed,LL(*),EBNF or Java,Java,DP|Separate,internal,Some|Java virtual machine,No,Free  GNU LGPL
Hime Parser Generator,LALR(1)  GLR,BNF dialect,C#  Java  Rust,DP|Separate,generated,Some|NET Framework  Java virtual machine,No,Free  GNU LGPL
Hyacc,LR(1)  LALR(1)  LR(0),Yacc,C,DA|Mixed,external,Yes|All,No,Free  GNU GPL
Irony,LALR(1),C#,N/A (state machine is runtime generated),DP|Separate,internal,Some|NET Framework,Yes,Free  MIT
iyacc,LALR(1),Yacc,Icon,DA|Mixed,external,Yes|All,No,Free  GNU LGPL
jacc,LALR(1),?,Java,DA|Mixed,external,Some|Java virtual machine,No,Free  BSD
JavaCC,LL(k),EBNF,Java  C  JavaScript (via GWT compiler)[4],DA|Mixed,generated,Some|Java virtual machine,Yes,Free  BSD
jay,LALR(1),Yacc,C#  Java,DA|Mixed,none,Some|Java virtual machine,No,Free  BSD
JFLAP,LL(1)  LALR(1),?,Java,?,?,Some|Java virtual machine,Yes,?
JetPAG,LL(k),?,C,DA|Mixed,generated,Yes|All,No,Free  GNU GPL
JS/CC,LALR(1),EBNF,JavaScript  JScript  ECMAScript,DA|Mixed,internal,Yes|All,Yes,Free  BSD
KDevelopPGQt,LL(1)  backtracking  shuntingyard,?,C,DA|Mixed,generated or external,Yes|All  KDE,No,Free  GNU LGPL
Kelbt,Backtracking LALR(1),?,C,DA|Mixed,generated,Some|POSIX,No,Free  GNU GPL
kmyacc,LALR(1),?,C  Java  Perl  JavaScript,DA|Mixed,external,Yes|All,No,Free  GNU GPL
Lapg,LALR(1),?,C  C  C#  Java  JavaScript,DA|Mixed,generated,Some|Java virtual machine,No,Free  GNU GPL
Lark,LALR(1)  Earley  CYK,EBNF,Python (no generation  library),DP|Separate,none,Yes|All,No,Free  MIT
Lemon,LALR(1),?,C,DA|Mixed,external,Yes|All,No,Free  public domain
