IRC Bot,Primary developers,Software license,Operating system,Programming language,First public release  date (version),Latest version  date (version),Notable features,Function scope,Website
jenniAnchor|jenni,Michael Yanovich,EFLv2,Unixlike,Python (2),?,?,Threaded  general purpose  includes some games Easily expandable by writing new modules,user management  conversation / lookup  games,[23]
irccdAnchor|irccd,David Demelier,ISC,Crossplatform,C17 and JavaScript,20130913 (100),20190815 (300),Multiple servers  rules filtering  templates system  crossplatform  extensible with Javascript and C plugins,bot framework,[24]
JerkbotAnchor|Jerkbot,Jason Stephenson,Artistic License 20,Crossplatform,Sleep,20140210 (10),20170829 (1765),Configurable chatter bot  written as jIRCii script,responsive chatter  learns  modules,[25]
JSONBOTAnchor|JSONBOT,Bart Thate,MIT,Unixlike,Python,201004,20120323 (0844),Beta,[empty],[26]
JZBotAnchor|JZBot,Alexander Boyd  Maximilian Dirkmann  James Stoker,LGPL,Crossplatform,Java,?,?,?,feeds  werewolf / maffia  karma system  reminders,[27]Dead link|date=November 2019 |bot=InternetArchiveBot |fixattempted=yes 
KGB,Mart�n Ferrari and Damyan Ivanov,GPL2,Crossplatform,Perl,20080714 (Git),20140917 (133 see commits),KGB is a system that provides notifications on IRC for commits made to Git  Subversion and CVS repositories,notifications on code commits,[28]
LambdabotAnchor|Lambdabot,Andrew J Bromage et al,MIT,Unixlike,Haskell,? (10),20110120 (4232),Many plugins; usable offline as a Haskell development tool; embeddable in GHCi,haskell development tool,[29]
LimnoriaAnchor|Limnoria,[empty],BSD,Crossplatform,Python,?,20170330 (20170330),See Supybot,A maintained fork of Supybot,[30]
MozbotAnchor|Mozbot,Ian Hickson  Chris Crews,MPL,Crossplatform,Perl,?,?,?,services to developer communities,[31]
MrBot  AwesomeBot,MattMc,Apache v2,Crossplatform,Java,November '13,20140601,A SemiAdvanced Java Bot with a ton of feactures and still more coming join #AwesomeBot on espernet for more info,factoids  lastseen,[32]
nibblrjrAnchor|nibblrjr,Kirjava,None,Crossplatform,Javascript,?,?,bot framework for creating custom behaviour dynamically,Bot framework,[33]
nodeircAnchor|nodeirc,Martyn Smith,GPLv3,Unixlike,Javascript,?,20150116 (039),Node native non blocking,?,[34]
PircBotAnchor|PircBot,Paul Mutton,GPL,Crossplatform,Java,20010801,20091214 (150),Framework for creating bots,framework to create bots,[35]
pmxbotAnchor|pmxbot,YouGov  Jamie Turner  Chris Mulligan,MIT,Unixlike,Python 3,?,?,Designed to be extensible for a work IRC network,conversation  search  games,[36]
RubyrbotAnchor|Rubyrbot,rubyrbot,GPL,Unixlike,Ruby,?,?,flexible plugin system,Twitter & RSS feeds  searches  games,[37]
RubybotAnchor|Rubybot,umby24,GPL30,Crossplatform,Ruby,?,20131030 (42),Simple  yet easily extensible,usermanagement,[38]
SchongoAnchor|Schongo,Selig  Posiden  Wil,?,Crossplatform,Python 3,?,?,Focus on simplicity  highly extandable module system  rapid development cycle,internet searches,[39]
Shocky,Shockah  clone1018,GPL20,Crossplatform,Java,?,?,A Very advanced Java irc bot  that supports all kinds of stuff,user management  factoids  games  karma system,[40]
sircbot,Alpine Linux,GPL20,Unixlike,C (Lua scriptable),?,20111215,Simple IRC bot for shell and lua scripts,?,git wiki
SopelAnchor|Sopel,Elsie Powell  Dimitri Molenaars  Elad Alfassa  Ari Koivula,EFLv2,Crossplatform,Python,20120715 (300),20180406 (653),SSL  (un)loading of modules at runtime  threaded  user/channel settings database  Python 3 support (Formerly Willie; based originally on phenny),Twitter & other feeds  internet searches  meetingbot,[41]
TennuAnchor|Tennu,Havvy (Ryan Scheel),ISC,Crossplatform,Javascript,20120308 (100),20160622 (490),Nodejs  Plugin architecture  Promise driven,user management,[42]
Ultros,gdude2002 and rakiru,Artistic License 20,Crossplatform,Python2,20130408 (Git),20140925 (110  see commits),Python IRC bot with an extensible plugin and protocol system  and a package manager Also supports mumble,internet searches  games,git site
VikingBotAnchor|VikingBot,Tor Henning Ueland,GPL30,Unixlike,PHP,?,20131009,Simple PHP based IRC bot with support for secure IRC servers and plugin support,bot stats,[43]
YauibAnchor|Yauib,Julien Palard,Simplified BSD,Crossplatform,Python,20110322,?,Plugins can be written in any language,takes all pubmsg and priv and tries to match the first word as a command to a directory with exec files and the rest as parameters,[44]
