+Comparison table of North American ski resorts,Resort name and website,Nearest city,State/province,Peak elevation (ft),Base elevation (ft),Vertical drop (ft),Skiable acreage,Total trails,Total lifts,Avg annual snowfall (in),Adult single day lift ticket price (USD),Date statistics updated
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Beartooth Basin Summer Ski Area,Red Lodge,Montana,10.900,9.900,1.000,600,9,2,[empty],$45,November 7  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Jackson Hole Mountain Resort,Teton Village,Wyoming,10.450,6.311,4.139,2.500,133,15,459,$140,November 7  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Loveland Ski Area,Georgetown,Colorado,13.010,10.800,2.210,1.800,94,11,422,$89,November 7  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Revelstoke Mountain Resort,Revelstoke,British Columbia,7.300,1.680,5.620,3.121,75,5,413,$119,March 16  2019<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Mount Ashland Ski Area,Ashland,Oregon,7.533,6.383,1.150,220,23,5,265,$52,September 29  2019<ref></ref>,[added]
Keystone Resort,Keystone,Colorado,12.408,9.280,3.128,3.148,131,20,235,$129 online,December 20  2018<ref></ref>,[added]
Breckenridge Ski Resort,Breckenridge,Colorado,12.998,9.600,3.398,2.908,187,34,353,$165 online,December 20  2018<ref></ref>,[added]
Squaw Valley,Truckee,California,9.050,6.200,2.850,3.600,170,29,450,$93,October  2016<ref></ref>,[added]
Mammoth Mountain,Mammoth Lakes,California,11.053,7.953,3.100,3.500,150,28,420,$96,April 20  2012<ref name="Mammoth Mountain Stats"></ref>,[added]
Heavenly Mountain Resort http://www.skiheavenly.com/,South Lake Tahoe,California,10.067,7.200,3.500,4.800,94,30,360,$82,November 19  2010,[added]
Mount Shasta Ski Park,Mount Shasta,California,9.200,7.800,1.435,425,32,4,275,$44,April 20  2012,[added]
Alpine Meadows,Truckee,California,8.637,6.835,1.802,2.400,[empty],14,365,$92,April 20  2012,[added]
Boreal,Soda Springs,California,7.700,7.200,500,380,41,8,400,$49,April 20  2012,[added]
Donner Ski Ranch,Norden,California,7.781,7.031,750,435,52,8,400,$45,April 20  2012,[added]
Homewood,Homewood,California,7.881,6.223,1.658,1.260,60,7,400,$109; $49 adv purch,December 20  2018,[added]
Kirkwood,Kirkwood,California,9.800,7.800,2.000,2.300,86,15,500,$129,October 29  2019,[added]
Northstar California,Truckee,California,8.610,6.330,2.280,2.904,93,19,350,$99,April 20  2012,[added]
Sierra-at-Tahoe,Twin Bridges,California,8.852,6.640,2.212,2.000,46,12,480,$77,April 20  2012,[added]
Sugar Bowl,Norden,California,8.383,6.883,1.500,1.500,94,13,500,$77,April 20  2012,[added]
Soda Springs,Soda Springs,California,7.325,6.673,652,200,15,2,400,$36,April 20  2012,[added]
Tahoe Donner,Truckee,California,7.350,6.750,600,120,10,3,400,$41,April 20  2012,[added]
Badger Pass,Yosemite National Park,California,8.000,7.200,800,90,10,5,300,$42,April 20  2012,[added]
Bear Valley,Angels Camp,California,8.500,6.600,1.900,1.280,67,10,359,[empty],April 20  2012,[added]
Dodge Ridge,Sonora,California,8.200,6.600,1.600,832,62,12,300,[empty],April 20  2012,[added]
June Mountain,June Lake,California,10.090,7.545,2.590,500,35,7,250,[empty],April 20  2012,[added]
China Peak,Lakeshore,California,8.709,7.030,1.673,1.200,45,11,300,[empty],April 20  2012,[added]
Alta Sierra,Wofford Heights,California,7.091,6.491,600,[empty],6,2,80<ref>http://www.bakersfieldlife.com/people-community/x429884552/Alta-Sierra-Ski-Resort-and-Terrain-Park</ref>,$50<ref></ref>,May 1  2017,[added]
Buckhorn Ski and Snowboard Club,Three Points,California,7.903,7.203,680,40,5,2,180,[empty],April 20  2012,[added]
Bear Mountain,Big Bear Lake,California,8.805,7.104,1.665,198,24,12,100,[empty],April 20  2012,[added]
Mount Baldy Ski Lifts,Mount Baldy,California,8.600,6.500,2.100,800,26,4,170,[empty],April 20  2012,[added]
Mount Waterman,Three Points,California,8.030,7.000,1.030,150,27,3,180,[empty],April 20  2012,[added]
Mountain High,Wrightwood,California,8.200,6.600,1.600,290,59,13,132<ref></ref>,$59<ref></ref>,February 14  2014,[added]
Snow Summit,Big Bear Lake,California,8.174,6.965,1.209,240,30,14,100,[empty],April 20  2012,[added]
Snow Valley Mountain Resort,Running Springs,California,7.841,6.800,1.041,240,29,12,150,[empty],April 20  2012,[added]
Wolf Creek Ski Area,Pagosa Springs,Colorado,11.904,10.300,1.604,1.600,77,7,465,[empty],April 20  2012,[added]
Kicking Horse Resort,Golden,British Columbia,8.218,3.900,4.314,3.486,120,3,295,$73,March 16  2019<ref></ref>,[added]
Eldora Mountain Resort http://www.eldora.com/,Nederland,Colorado,10.800,9.200,1.600,680,53,12,300,$69,February 18  2011,[added]
Alyeska Resort http://www.alyeskaresort.com/,Girdwood,Alaska,3.939,250,2.500,1.400,73,9,643,$89,November 7  2019,[added]
Marmot Basin http://www.skimarmot.com/,Jasper,Alberta,8.570,5.570,3.000,1.675,86,8,160,$105,September 19  2019,[added]
Lake Louise Mountain Resort http://www.skilouise.com/,Lake Louise,Alberta,8.650,5.400,3.250,4.200,139,9,180<ref>Lake Louise Mountain Resort</ref>,$84.95<ref></ref>,February 14  2014,[added]
Big White Ski Resort http://www.bigwhite.com/,Kelowna,British Columbia,7.606,4.950,2.656,2.800,118,16,294,$76,November 19  2010,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Silver Star Mountain Resort http://www.skisilverstar.com/,Vernon,British Columbia,6.282,3.789,2.500,3.269,128,12,275,$81,April  2015<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Whistler Blackcomb http://www.whistlerblackcomb.com/,Whistler,British Columbia,7.494,2.140,5.280,8.171,200,37,404,$93,December 23  2017,[added]
Steamboat Springs http://www.steamboat.com/,Steamboat Springs,Colorado,10.568,6.900,3.668,2.956,165,16,349,$125,January 30  2015,[added]
Copper Mountain (Colorado) http://www.coppercolorado.com/,Frisco,Colorado,12.313,9.712,2.601,2.450,126,22,282,$74,November 19  2010,[added]
Vail Ski Resort,Vail,Colorado,11.570,8.120,3.450,5.289,195,31,354,$199; $179 online,December 20  2018,[added]
Beaver Creek,Avon,Colorado,11.440,8.100,3.340,1.832,150,24,195,$199; $179 online,December 20  2018,[added]
Winter Park Resort,Winter Park,Colorado,12.060,9.000,3.060,3.000,143,25,365,$92,[empty],[added]
Saddleback Maine,Farmington,Maine,4.120,2.120,2.000,485,66,5,200,$40,[empty],[added]
Boyne Mountain,Boyne City,Michigan,1.120,620,500,41,60,10,140,$59,[empty],[added]
Mountain Creek,Vernon Township,New Jersey,1.480,440,1.040,200,41,8,65,$62,[empty],[added]
Blue Mountain,Collingwood,Ontario,1.483,741,742,250,34,15,109,$67,[empty],[added]
Mt Bachelor https://web.archive.org/web/20100331205610/http://www.mtbachelor.com/winter/index.html,Bend,Oregon,9.065,5.700,3.365,4.318,101,11,462,$99,September 29  2019<ref></ref>,[added]
Mount Hood Meadows http://www.skihood.com/,Portland,Oregon,7.300,4.523,2.777,2.150,85,11,430,$90,[empty],[added]
Mont-Sainte-Anne,Beaupré,Quebec,2.625,575,2.050,450,65,13,187,$65,[empty],[added]
Mont Tremblant Resort,Mont Tremblant,Quebec,2.870,750,2.120,627,95,14,156,$70.35,[empty],[added]
Le Massif,Petite-Rivière-Saint-François,Quebec,2.645,118,2.527,410,48,4,248,$61,[empty],[added]
Brian Head,Brian Head,Utah,11.307,9.600,1.548,650,14,8,370,$40,[empty],[added]
Park City Mountain Resort<ref></ref>,Park City,Utah,10.000,6.900,3.100,7.300,348,41,360,$169; $157 online,March 1  2019,[added]
Deer Valley,Park City,Utah,9.570,6.570,3.000,2.026,100,21,280,$86,[empty],[added]
Brighton Ski Resort http://www.brightonresort.com,Salt Lake City,Utah,10.500,8.755,1.745,1.500,66,6,500,$58,[empty],[added]
Alta Ski Area http://www.alta.com,Salt Lake City,Utah,10.550,8.530,2.020,2.200,116,10,560,$66,[empty],[added]
Snowbird http://www.snowbird.com,Salt Lake City,Utah,10.992,7.760,3.240,2.500,85,13,500,$72,[empty],[added]
Smuggler's Notch,Jeffersonville,Vermont,3.640,1.030,2.610,1.000,78,16,288,$66,[empty],[added]
Windham Mountain,Windham,New York,3.100,1.500,1.600,279,52,12,100<ref></ref>,$75,February 14  2014,[added]
Hunter Mountain,Hunter,New York,3.200,1.600,1.600,240,58,10,120<ref></ref>,$72,February 14  2014,[added]
Killington Ski Resort,Killington,Vermont,4.241,1.165,3.050,1.509,155,21,250,$77,[empty],[added]
Okemo Mountain,Ludlow,Vermont,3.344,1.144,2.200,632,119,19,200,$79,[empty],[added]
Stowe Mountain Resort,Stowe,Vermont,3.719,1.559,2.160,485,116,13,333,$89,[empty],[added]
Sugarbush Resort,Warren,Vermont,4.083,1.483,2.600,508,111,16,269,$82,[empty],[added]
Sugarloaf,Carrabassett Valley,Maine,4.237,1.417,2.820,1.153,154,14,200,$79,[empty],[added]
Snowshoe Mountain,Marlinton,West Virginia,4.848,3.348,1.500,244,60,14,180,$77,[empty],[added]
Sunshine Village http://www.skibanff.com/,Banff,Alberta,8.954,5.440,3.514,3.358,107,12,360,$82,January 19  2013,[added]
Mt. Norquay http://banffnorquay.com//,Banff,Alberta,8.040,5.500,1.650,190,28,5,120,$59,January 19  2013,[added]
Grouse Mountain http://grousemountain.com//,North Vancouver,British Columbia,4.039,899,1.198,212,26,5,120,$58,April 2  2013,[added]
Mount Seymour http://www.mountseymour.com//,North Vancouver,British Columbia,4.150,935,1.083,200,23,5,394,$51,April 2  2013,[added]
Cypress Mountain http://cypressmountain.com//,West Vancouver,British Columbia,4.724,2.985,2.001,600,53,6,245,$60,April 2  2013,[added]
Stevens Pass http://stevenspass.com//,Stevens Pass,Washington,5.845,4.061,1.800,1.125,37,10,450,$65,July 8  2013,[added]
Sun Peaks Resort,Kamloops,British Columbia,6.824,3.930,2.894,4.270,135,12,237,$74,December 23  2017,[added]
Crystal Mountain,Enumclaw,Washington,7.012,3.912,3.100,2.600,57,12,350,$66<ref></ref>,January 26  2014,[added]
Red Mountain Resort http://redresort.com//,Rossland http://tourismrossland.com//,British Columbia,6.807,3.887,2.919,4.200,110,7,300,$74,February 26  2019,[added]
Mt Baker http://mtbaker.us//,Glacier,Washington,5.089,3.500,1.589,1.000,31,10,641,$58,December 5  2015,[added]
Whiteface Mountain,Lake Placid,New York,4.650,1.220,3.430,314,87,11,168<ref></ref>,$92,February 16  2016,[added]
Powder Mountain,Eden,Utah,9.422<ref name=":0"></ref>,6.900,2.205,8.464<ref name=":0" />,167,9,500,$85,January 29  2018,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Sugar Mountain Resort http://www.skisugar.com//,Banner Elk,North Carolina,5.300,4.100,1.200,120,21,8,77,$74,May 5  2018<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Beech Mountain Resort https://www.beechmountainresort.com//,Beech Mountain,North Carolina,5.506,4.675,831,95,17,8,84,$67,May 5  2018<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Appalachian Ski Mountain https://www.appskimtn.com//,Blowing Rock,North Carolina,4.000,3.635,365,27,12,5,27,$62,May 5  2018<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Cataloochee Ski Area http://cataloochee.com//,Maggie Valley,North Carolina,5.400,4.660,740,50,18,5,24,$67,May 5  2018<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Sapphire Valley Ski Area http://www.skisapphirevalley.com//,Sapphire,North Carolina,3.400,3.200,200,8,3,3,24,$63,May 5  2018<ref></ref>,[added]
[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added],[added]
Wolf Ridge Ski Resort http://www.skiwolfridgenc.com//,Mars Hill,North Carolina,4.700,4.000,700,65,15,4,65,$56,May 5  2018<ref></ref>,[added]
Aspen Highlands<ref> Colorado Ski Snowboard Area {{!}} Aspen Snowmass|website=Aspen Snowmass|access-date=2018-09-27}}</ref>,Aspen,Colorado,11.678,8.040,3.638,1.010,144,5,300,$139,September 27  2018,[added]
Aspen Mountain<ref> Colorado Ski Snowboard Resort {{!}} Aspen Snowmass|website=Aspen Snowmass|access-date=2018-09-27}}</ref>,Aspen,Colorado,11.212,7.945,3.267,673,76,8,300,$139,September 27  2018,[added]
Buttermilk<ref> Colorado Ski Snowboard Area {{!}} Aspen Snowmass|website=Aspen Snowmass|access-date=2018-09-27}}</ref>,Aspen,Colorado,9.900,7.870,2.030,435,44,8,200,$139,September 27  2018,[added]
Snowmass<ref> Colorado Ski Snowboard Area {{!}} Aspen Snowmass|website=Aspen Snowmass|access-date=2018-09-27}}</ref>,Aspen,Colorado,12.510,8.104,4.406,3.362,96,17,300,$139,September 27  2018,[added]
Lee Canyon (Ski and Snowboard Resort)<ref></ref>,Las Vegas,Nevada,11.289,8.510,860,385,27,3,161,$70,December 29  2018,[added]
Terry Peak,Lead,South Dakota,7.064,5.930,1.134,450,30,4,150,$58,February 6  2019,[added]
Mount Snow https://www.mountsnow.com/,Dover,Vermont,3.600,1.900,1.700,600,86,20,156,$110,January 15  2019 <ref></ref>,[added]
Wintergreen,Charlottesville,Virginia,3.515,2.512,1.003,129,26,5,35,$94,August 8  2019,[added]
Angel Fire Resort https://www.angelfireresort.com/,Angel Fire,New Mexico,10.677,8.600,2.077,30,80,7,210,$84,September 9  2019,[added]
Bridger Bowl,Bozeman,Montana,8.700,6.100,2.600,2.000,75,11,350,$63,September 28  2019<ref></ref>,[added]
Turner Mountain,Libby,Montana,5.952,3.842,2.110,1.000,22,1,200,$38,September 28  2019<ref></ref>,[added]
Discovery,Anaconda,Montana,8.158,5.770,2.388,2.200,67,8,150,$52,September 28  2019<ref></ref>,[added]
Great Divide,Helena,Montana,7.210,5.880,1.330,1.500,140,6,180,$48,September 28  2019<ref></ref>,[added]
Showdown,Great Falls,Montana,8.200,6.800,1.400,640,36,4,240,$49,September 28  2019,[added]
Maverick Mountain,Dillon,Montana,8.820,6.800,2.020,170,24,2,200,$39,access-date=2019-09-28}}</ref>,[added]
Lost Trail Powder Mountain,Hamilton,Montana,8.200,6.400,1.800,1.800,60,8,325,$46,September 28  2019<ref></ref>,[added]
Blacktail Mountain,Kalispell,Montana,6.780,5.340,1.440,1.000,26,4,250,$42,September 28  2019<ref></ref>,[added]
Bear Paw Ski Bowl,Havre,Montana,5.280,4.200,1.080,80,11,2,140,$20,website=skicentral.com|access-date=2019-09-28}}</ref>,[added]
Red Lodge Mountain,Red Lodge,Montana,9.416,7.016,2.400,1.635,70,7,250,$69,September 28  2019<ref></ref>,[added]
Montana Snowbowl,Missoula,Montana,7.600,5.000,2.600,950,39,4,300,$52,September 28  2019<ref></ref>,[added]
Teton Pass,Choteau,Montana,7.200,6.190,1.010,114,26,2,250,[empty],[empty],[added]
White Pass,Yakima,Washington,6.500,4.500,2.000,1.400,45,8,350,$69,September 28  2019<ref></ref>,[added]
49 Degrees North,Spokane,Washington,5.774,3.923,1.851,2.325,82,6,300,$62,September 28  2019<ref></ref>,[added]
Hurricane Ridge,Port Angeles,Washington,5.500,4.800,700,[empty],10,3,400,$37,September 28  2019<ref></ref>,[added]
The Summit at Snoqualmie,North Bend,Washington,5.420,2.610,2.280,1.914,62,27,435,$58,September 28  2019<ref></ref>,[added]
Ski Bluewood,Dayton,Washington,5.670,4.454,1.216,530,24,3,300,$50,September 28  2019<ref></ref>,[added]
Mount Spokane,Spokane,Washington,5.889,3.818,2.071,1.704,52,8,300,$62,September 28  2019<ref></ref>,[added]
Mission Ridge,Wenatchee,Washington,6.820,4.570,2.250,2.000,36,6,200,$75,September 28  2019<ref></ref>,[added]
Loup Loup Ski Bowl,Twisp,Washington,5.280,4.040,1.240,550,10,3,150,$55,September 28  2019<ref></ref>,[added]
Echo Valley,Chelan,Washington,3.900,3.000,900,70,6,4,[empty],$30,September 28  2019<ref></ref>,[added]
Crystal Mountain,Enumclaw,Washington,7.002,4.400,2.602,2.600,57,12,350,$99,September 28  2019<ref></ref>,[added]
Badger Mountain,Waterville,Washington,3.470,3.145,325,10,5,3,120,$10,September 28  2019<ref></ref>,[added]
Leavenworth Ski Hill,Leavenworth,Washington,1.706,1.476,230,17,2,2,[empty],$22,website=skileavenworth.com|access-date=2019-09-28}}</ref>,[added]
Meany Lodge,Easton,Washington,[empty],[empty],450,54,32,1,[empty],$40,September 28  2019<ref></ref>,[added]
Sitzmark Lifts,Tonasket,Washington,4.950,4.300,650,[empty],11,2,[empty],$45,September 28  2019<ref></ref>,[added]
Mount Eyak,Cordova,Alaska,1.200,400,800,100,10,2,350,$30,September 28  2019<ref></ref>,[added]
Moose Mountain,Fairbanks,Alaska,1.985,685,1.300,200,40,0,70,$40,September 28  2019<ref></ref>,[added]
Eaglecrest,Juneau,Alaska,2.750,1.130,1.620,640,34,4,350,$58,September 28  2019<ref></ref>,[added]
Hilltop,Anchorage,Alaska,[empty],[empty],294,30,13,3,[empty],$34,website=hilltopskiarea.org|access-date=2019-09-28}}</ref>,[added]
Arctic Valley,Anchorage,Alaska,4.000,2.500,1.500,320,24,3,250,$40,September 28  2019<ref></ref>,[added]
Mount Aurora Skiland,Fairbanks,Alaska,2.435,1.408,1.027,530,46,2,[empty],$40,access-date=2019-09-28}}</ref>,[added]
White Pine,Pinedale,Wyoming,9.500,8.450,1.050,350,27,2,150,$50,September 28  2019<ref></ref>,[added]
Snowy Range,Centennial,Wyoming,9.663,8.798,865,250,27,5,245,$49,September 28  2019<ref></ref>,[added]
Snow King,Jackson,Wyoming,7.808,6.237,1.571,400,32,5,175,$59,website=Snow King Mountain Resort|access-date=2019-09-28}}</ref>,[added]
Pine Creek,Cokeville,Wyoming,8.200,6.875,1.325,370,30,2,150,$45,September 28  2019<ref></ref>,[added]
Hogadon,Casper,Wyoming,8.000,7.370,630,60,27,2,140,$48,September 28  2019<ref></ref>,[added]
Meadowlark Ski Lodge,Ten Sleep,Wyoming,9.500,8.500,1.000,300,14,3,[empty],$48,September 28  2019<ref></ref>,[added]
Sleeping Giant,Cody,Wyoming,7.428,6.619,810,184,49,3,310,$42,website=skicentral.com|access-date=2019-09-28}}</ref>,[added]
Elko Snobowl,Elko,Nevada,6.988,6.338,650,60,10,2,24,$20,September 28  2019<ref></ref>,[added]
Diamond Peak,Incline Village,Nevada,8.540,6.700,1.840,655,30,6,225,$99,website=Diamond Peak|access-date=2019-09-28}}</ref>,[added]
Great Bear Ski Valley,Sioux Falls,South Dakota,1.530,1.352,178,220,14,4,150,$29,September 28  2019<ref></ref>,[added]
Huff Hills,Mandan,North Dakota,2.150,1.725,425,[empty],21,3,40,$35,September 28  2019<ref></ref>,[added]
Bottineau Winter Park,Bottineau,North Dakota,2.450,2.270,180,40,8,6,13,$35,September 28  2019<ref></ref>,[added]
Elk Ridge,Williams,Arizona,8.150,7.500,650,37,10,2,150,$40,website=skicentral.com|access-date=2019-09-28}}</ref>,[added]
Mount Lemmon Ski Valley,Tucson,Arizona,9.157,8.200,957,200,21,3,180,$47,September 28  2019<ref></ref>,[added]
Sunrise Park,Greer,Arizona,11.100,9.200,1.900,800,65,9,250,$78,September 28  2019<ref></ref>,[added]
Sandia Peak,Albuquerque,New Mexico,10.378,8.678,1.700,200,39,5,100,$55,September 28  2019<ref></ref>,[added]
Ski Apache,Ruidoso,New Mexico,11.500,9.600,1.900,750,55,8,185,$74,September 28  2019<ref></ref>,[added]
Sipapu,Taos,New Mexico,9.225,8.200,1.055,200,41,6,190,$45,September 28  2019<ref></ref>,[added]
Red River,Red River,New Mexico,10.350,8.750,1.600,209,64,7,214,$82,September 28  2019<ref></ref>,[added]
Kelly Canyon,Idaho Falls,Idaho,6.600,5.600,1.000,640,26,5,200,$42,September 28  2019<ref></ref>,[added]
Pebble Creek,Pocatello,Idaho,8.560,6.360,2.200,1.100,54,3,250,$52,September 28  2019<ref></ref>,[added]
Magic Mountain,Twin Falls,Idaho,7.240,6.540,700,120,11,4,230,$33,access-date=2019-09-28}}</ref>,[added]
Blizzard Mountain,Arco,Idaho,6.305,5.595,710,[empty],[empty],1,[empty],[empty],September 28  2019,[added]
Rotarun,Hailey,Idaho,5.895,5.420,475,[empty],12,1,[empty],$20,September 28  2019<ref></ref>,[added]
Chipmunk Hill,Challis,Idaho,[empty],[empty],[empty],30,1,1,[empty],$5,September 28  2019,[added]
Snowhaven,Grangeville,Idaho,5.600,5.200,400,40,9,2,60,$19,September 28  2019<ref></ref>,[added]
Tamarack,Boise,Idaho,7.660,4.900,2.760,1.100,45,6,300,$71,September 28  2019<ref></ref>,[added]
Cottonwood Butte,Cottonwood,Idaho,5.730,4.885,845,260,7,2,45,$20,September 28  2019<ref></ref>,[added]
Bald Mountain,Pierce,Idaho,4.800,4.000,800,140,16,2,100,$20,September 28  2019<ref></ref>,[added]
Silver Mountain,Coeur d'Alene,Idaho,6.297,4.100,2.197,1.600,67,8,300,$58,September 28  2019<ref></ref>,[added]
Mohawk Mountain,Cornwall,Connecticut,1.600,960,640,107,25,8,24,$67,September 28  2019<ref></ref>,[added]
Powder Ridge,Middlefield,Connecticut,803,377,426,80,19,7,60,$49,September 28  2019<ref></ref>,[added]
Ski Sundown,Hartford,Connecticut,1075,450,625,70,16,5,45,$62,September 28  2019<ref></ref>,[added]
Mount Southington,Waterbury,Connecticut,525,100,425,51,14,7,80,$62,September 28  2019<ref></ref>,[added]
Yawgoo Valley,Exeter,Rhode Island,310,70,240,36,14,3,39,$50,September 28  2019<ref></ref>,[added]
Frost Fire,Walhalla,North Dakota,1.400,1.070,330,[empty],10,3,[empty],$23,September 28  2019<ref></ref>,[added]
Hidden Valley,Wildwood,Missouri,860,540,320,65,17,9,19,$49,September 28  2019<ref></ref>,[added]
Snow Creek,Weston,Missouri,1.099,799,300,25,12,5,20,$47,September 28  2019<ref></ref>,[added]
Ober Gatlinburg,Gatlinburg,Tennessee,3.300,2.700,600,38,10,4,9,$65,September 28  2019<ref></ref>,[added]
Paoli Peaks,Paoili,Indiana,900,600,300,65,17,8,18,$45,September 28  2019<ref></ref>,[added]
Perfect North Slopes,Lawrenceburg,Indiana,800,400,400,100,23,11,23,$52,September 28  2019<ref></ref>,[added]
Alpine Valley,Chesterland,Ohio,1.500,1.260,240,72,11,5,120,$44,September 28  2019<ref></ref>,[added]
Boston Mills/Brandywine,Peninsula,Ohio,871,531,240,79,18,16,54,$44,September 28  2019<ref></ref>,[added]
Mad River,Bellafontaine,Ohio,1.460,1.160,300,144,23,12,36,$49,September 28  2019<ref></ref>,[added]
Snow Trails,Mansfield,Ohio,1.475,1.175,300,80,17,7,52,$52,September 28  2019<ref></ref>,[added]
