Program,Operating systems,License,Costs,Protocols,Codecs,Encryption,Max conference peers,Other abilities,Latest release
Mumble,Linux  macOS  iOS  Windows  Android,free|New BSD license,free,ICE,CELT  Speex  Opus,Yes|TLS and OCBAES128,No max (limited only by server bandwidth and memory),Chat with (limited) embedded HTML  Automatic Gain Control  very low latency  Access Control Lists for user management  Customizable InGame Overlay for OpenGL and DirectX  Directional Audio  Plugin Support  Nested Channels  Echo cancellation for headset free use  Global Public Server List  Logitech G15 support  PushToTalk and VoiceActivation,1219; Start date and age|2017|01|27
Nymgo,Windows  Android  iOS,proprietary,free,SIP  RTP and RTCP,Unk,Yes,No,Address Book integration  Call recording/export  Mute  On Hold  Caller ID definition,429; Start date and age|2013|03
oovoo,macOS  iOS  Windows  Android,proprietary,free,SIP  RTP and RTCP,Unk,Yes,12,Address Book integration  Call recording/export  Mute  On Hold  Caller ID definition,429; Start date and age|2013|03
Phoner,Windows,proprietary,free,SIP  TAPI  CAPI,G711a  G711u  G722  G726  G729  GSM  iLBC  speex  Opus,Yes|TLS  SRTP  ZRTP,8,Conferencing  call redirection  call recording,Latest stable software release/Phoner
PhonerLite,Windows,proprietary,free,SIP,G711a  G711u  G722  G726  G729  GSM  iLBC  speex  Opus,Yes|TLS  SRTP  ZRTP,8,Conferencing  call redirection  call recording,Latest stable software release/PhonerLite
QuteCom,Linux  macOS  Windows XP2000,free|GPL,free,SIP,G711  G729  iLBC  AMRNB  G722  Speex  AMRWB (G7222)  H263  H263  H264  Dirac[13],Yes|SRTP  but key exchange via Everbee key Exchange which is not a Standard,Unk,Video  IM (MSN  AIM  ICQ  Yahoo!  XMPP  Google Talk)  voicemail  wengo to phone  conferencing,Latest stable software release/QuteCom
Roger Wilco GameSpy,Windows,proprietary,dunno,Proprietary,dunno,dunno,dunno,dunno,Start date and age|2001
Signal,Linux  macOS  Windows  Android  iPhone,open source  The clients are published under the GPLv3 license  while the server code is published under the AGPLv3 license,free,<to be completed>,<to be completed>,<to be completed>,<to be completed>,Signal also allows users to send text messages  files  voice notes  pictures  GIFs  and video messages over a WiFi or data connection to other Signal users on iOS  Android and a desktop app The app also supports group messaging  read receipts and typing indicators  both of which can be disabled,Latest stable software release/Signal (software)
Skype,Linux(with limited functionality) [14] macOS  Windows 2000XPVista7Mobile (unsupported)  BREW  Windows Phone   Android  iPhone  PSP,proprietary,free,Proprietary P2P protocol efn|It is possible to connect by SIP to the Skype network via additional "Skype Connect" PBX software and alternative (SIP) client software/hardware Neither the Skype software nor the Skype network supports SIP directly[1],SILK,Yes|TLS,25 starting with version 360216 10 with 2x,Conferencing  video  file transfer  voicemail  Skype to phone  phone to Skype  additional P2P extensions (games  whiteboard  etc); depending on platform,Latest stable software release/Skype
TeamSpeak,Linux  Windows  macOS  FreeBSD  Android  iOS,proprietary,free,Unk,CELT  Speex  Opus[15],Yes,32 unlicensed  512 with nonprofit license  2000,Simultaneous server conferencing with tabs  3D sound effects  scalable permissions system  firewall friendly file transfers  ingame overlay for DirectX & OpenGL games  global public server list  plugin system,33
TeamTalk,Linux  Windows  macOS  Android  iOS  Raspbian,proprietary,free,proprietary,Opus  Speex  WebM,No,1000,Video  file sharing  desktop sharing  stream media files (MP3  AVI),533; Start date and age|2018|11
TeamViewer,Linux  Windows  macOS  iOS  Android[16],proprietary,free (personal use only),Unk,Unk,Yes|AES256,Unk,Unk,Latest stable software release/TeamViewer
Telephone,macOS 10102,free|BSD,free,SIP  STUN  ICE,Unk,No,Unk,Address Book integration,114; Start date and age|2012|03|06
Toktumi Unlimited  Line2 Pro,Windows XPVista7  macOS  iOS  Android,proprietary,free,Proprietary with SIP core,Unk,Unk,20,Conferencing  voicemail  caller ID  callwaiting  address book integration; autoattendant  callforwarding,Windows; Start date and age|2010|08; macOS; Start date and age|2010|10
Tox,Linux  macOS  Windows  Android  FreeBSD,free|GPL,free,Tox  VP8,Opus ,Yes|NaCl,Unk,Voice  video  instant messaging  file transfers,Unk
Tru App,Windows 2000XPVista7  macOS  Linux iOS  Android  Symbian  BlackBerry OS ,proprietary,free,SIP  XMPP,Unk,Unk,Unk,Chat  file transfer  voicemail  inbound numbers  integration with GTalk  Microsoft Live  Skype,[empty]
Tuenti,Android  iPhone  Windows Phone,proprietary,free,WebRTC  SIP  XMPP,iLBC  Opus,Yes,?,Voice  video  Instant messaging  group chat  photo and video sharing  SMS and MMS  native and social network contacts integration  incoming call/IM push notifications,[empty]
Twinkle,Linux,free|GPL,free,SIP,G711 Alaw ¼law  G726  GSM  iLBC  Speex narrow wide ultrawide,Yes|SRTP  ZRTP,3,Conferencing  chat  file transfer  Firefox integration  call redirection  voicemail  support of VoIPtoPhone services,Latest stable software release/Twinkle
Ventrilo,macOS  Windows  iOS  Android,proprietary,free,Unk,Unk,No,8,Conferencing  chat  texttospeech,308
Viber,Linux efn|name=viberdesktoprestriction|Viber must be first installed on a mobile phone to function on a desktop operating system[17][18] macOS efn|name=viberdesktoprestriction Windows efn|name=viberdesktoprestriction Android  Bada  BlackBerry OS  iOS  Series 40  Symbian  Windows Phone,proprietary,dunno,Unk,Unk,Yes[19],Unk,Varies by platform Text  picture and video messaging on all  voice calling only on iPhone  Android and Microsoft's Windows Phone,Latest stable software release/Viber
Vonage,Linux  macOS  Windows  Android  iOS,Proprietary,not free,SIP  STUN  ICE  TURN,Audio Opus  G711 Video VP8,SRTP,50,VoIP   video  instant messaging  presence (SIP SIMPLE)  PSTN (inbound and outbound)  call waiting  call hold  call forwarding  voicemail  messagewaiting indication  3way conferencing  contacts integration  receptionist console  video  group chat  content sharing  SMS over IP services  native and social network contacts integration  incoming call/IM push notifications  fax  file sharing  screen sharing (desktop only)  number programmability,[added]
Wire,Linux  Windows  macOS  iOS  Android  Web,free|GPLv3,not free,dunno,Opus (audio)  VP8 (video),yes|DTLS  SRTP[20],10[21],Endtoend encryption by default for everything  instant messaging  video call  video group call  file sharing  GIF sharing  push to talk  edit message  delete message (on both side)  timed messages  doodling  identity verification  screen sharing (desktop only),dunno
XLite,macOS  Windows,proprietary,free,SIP  STUN  ICE  TURN,H263  H263  G711  iLBC  Speex,no,3,VoIP over WiFi  3G  4G  video  instant messaging  presence (SIP SIMPLE)  call waiting  call hold  call forwarding  voice mail  message waiting indication  3 way conferencing  contacts integration  background noise reduction (BNR)  automatic gain control (AGC),533 Start date and age|2018|07|10
Yahoo! Messenger,Classic Mac OS (8  9)  macOS  Windows  (Linux  FreeBSD version VoIP incapable),proprietary,free,SIP (using TLS) and RTP (media),Unk,Unk,Unk,Video  file transfer  PC to phone  phone to PC,Windows 1150228; Start date and age|2012|05|31 Mac 301; Start date and age|2011|07|20 Linux 106; Start date and age|2003|09 SunOS 57 099171; Start date and age|2003|09 Solaris 8 104; Start date and age|2003|09 FreeBSD 45 104; Start date and age|2003|09 iOS 226; Start date and age|2012|07|12
Yate Client,Linux  macOS  Windows,free|GPL,free,SIP  IAX  XMPP  H323,G711a  G711u  GSM 0610  iLBC  Speex  G723  G726  G728  G729,Yes|SRTP  maybe ZRTP?,Unk,[empty],600; Start date and age|2017|09
Zfone,Linux  macOS  Windows,proprietary|Viewable source,free|Includes time bomb provision,SIP  RTP,Unk,Yes|SRTP  ZRTP,Unk,[empty],Beta 20080904 (Linux 09224)  (macOS 09246)  (Windows 09206)
