Model,Image processor,Sensor format,Megapixels,Min ISO,Max ISO,Autofocus points,Viewfinder magnification  coverage,Display size  dots (ratio),Touchscreen,Live view,Max FPS,Storage,Release date,Weight (kg),Dimensions  W×H×D (mm),Video,Main battery,Comms
5D Mk III,5 DIGIC 5,Fullframe CMOS,223,50,102400,61,071×  100%,32"  1040k,No,Yes,6,CF  SD,2012Q1,095,152 × 116 × 76,1080p30  720p60,LPE6,[added]
5D Mk IV,6 DIGIC 6,Fullframe CMOS,301,50,102400,61,071×  100%,32"  1620k,Fixed,Yes,7,CF  SDXC (UHSI),2016Q3,0889,151 × 116 × 76,4K30  1080p60  720p120,LPE6N,[added]
5Ds / 5Ds R,6D Dual DIGIC 6,Fullframe CMOS,506,50,12800,61,071×  100%,32"  1040k,No,Yes,5,CF  SDXC (UHSI),2015Q2,093,152 × 116 × 76,1080p30  720p60,LPE6,[added]
6D,5 DIGIC 5,Fullframe CMOS,202,50,102400,11,071×  97%,30"  1040k,No,Yes,45,SDXC (UHSI),2012Q4,077,145 � 111 � 71,1080p30  720p60,LPE6,GPS
6D Mk II,7 DIGIC 7,Fullframe CMOS,262,50,102400,45,071×  98%,30"  1040k 32,Articulated,Yes,65,SDXC (UHSI),2017Q3,0765,144 � 1105 � 748,1080p60  720p60,LPE6N,GPS
7D,4D Dual DIGIC 4,APSC CMOS,18,100,12800,19,10×  100%,30"  0920k,No,Yes,8,CF,2009Q3,082,148 × 111 × 74,1080p30  720p60,LPE6,[added]
7D Mk II,6D Dual DIGIC 6,APSC CMOS,202,100,51200,65,10×  100%,30"  1040k,No,Yes,10,CF  SDXC (UHSI),2014Q3,091,149 × 112 × 78,1080p60  720p60,LPE6N,[added]
D30,[empty],APSC CMOS,31,100,1600,3,088×  95%,18"  0114k,No,No,3,CF,2000Q2,078,150 × 107 × 75,,BP511 BP511A,[added]
D60,0,APSC CMOS,63,100,1000,3,088×  95%,18"  0114k,No,No,3,CF,2002Q1,078,150 × 107 × 75,,BP511 BP511A,[added]
10D,1 DIGIC,APSC CMOS,63,100,3200,7,088×  95%,18"  0118k,No,No,3,CF,2003Q1,079,150 × 108 × 75,,BP511  BP512,[added]
20D,2 DIGIC II,APSC CMOS,82,100,3200,9,090×  95%,18"  0118k,No,No,5,CF,2004Q3,0685,144 × 106 × 72,,BP511A  BP511  BP512,[added]
20Da,2 DIGIC II,APSC CMOS,82,100,3200,9,090×  95%,18"  0118k,No,Yes,5,CF,2005Q1,0685,144 × 106 × 72,,BP511A  BP511  BP512,[added]
30D,2 DIGIC II,APSC CMOS,82,100,3200,9,090×  95%,25"  0230k,No,No,5,CF,2006Q1,07,144 × 106 × 74,,BP511A  BP514  BP511  BP512,[added]
40D,3 DIGIC III,APSC CMOS,101,100,3200,9,095×  95%,30"  0230k,No,Yes,65,CF,2007Q3,074,146 × 108 × 74,,BP511A  BP514  BP511  BP512,[added]
50D,4 DIGIC 4,APSC CMOS,151,100,12800,9,095×  95%,30"  0920k,No,Yes,63,CF,2008Q4,073,146 × 108 × 74,Via open source (Magic Lantern),BP511A  BP514  BP511  BP512,[added]
60D,4 DIGIC 4,APSC CMOS,18,100,12800,9,095×  96%,30"  1040k 32,No Articulated,Yes,53,SDXC,2010Q3,0755,145 × 106 × 79,1080p30  720p60,LPE6,[added]
60Da,4 DIGIC 4,APSC CMOS,18,100,12800,9,095×  96%,30"  1040k 32,Articulated,Yes,53,SDXC,2012Q2,0755,145 × 106 × 79,1080p30  720p60,LPE6,[added]
70D,5 DIGIC 5,APSC CMOS,202,100,25600,19,095×  98%,30"  1040k 32,Articulated,Yes,7,SDXC (UHSI),2013Q3,0755,139 × 1043 × 785,1080p30  720p60,LPE6,[added]
77D,7 DIGIC 7,APSC CMOS,242,100,25600,45,082×  95%,30"  1040k 32,Articulated,Yes,60,SDXC (UHSI),2017Q1,0540,131 × 999 × 762,1080p60  720p60,LPE17N,[added]
