Distribution,Founder,Maintainer,Initial release year,Current stable version,Security updates (years),Release date,System distribution commitment,Forked from,Target audience,Cost,Status
Scientific Linux,CERN  Fermilab,dev team,date|2004|iso,76[61],dunno,20181203,Proprietary|X,Red Hat Linux  Red Hat Enterprise Linux (RHEL),server  workstation,free|Gratis,site active
Slackware,Patrick Volkerding,dev team,date|1993|iso,142[62],dunno,20160630,Proprietary|X,Softlanding Linux System (SLS),general,free|Gratis,site active
Slax,Tomas Matejicek,Tomas Matejicek,date|2002|iso,991[63],dunno,date|20190617|iso,Proprietary|X,Debian  Slackware (until Slax 9),live,free|Gratis,site active
SliTaz GNU/Linux,Christophe Lincoln,dev team,date|2008|iso,Rolling,Rolling,date|20171203|iso,Proprietary|X,Independent,portable,Free|Gratis,site active
Solus,Ikey Doherty,dev team,date|2005|iso,Rolling,Rolling,date|20170815|iso,Proprietary|X,€“,desktop,Free|Gratis,site active
SolydXK,Arjen Balfoort,dev team,date|2013|iso,201902[64],Debian packages as per Debian,date|20190303|iso,Proprietary|X,Debian,desktop,Free|Gratis,site active
SparkyLinux,dunno,Sparky Linux team,date|2012|iso,571[65],dunno,date|20190403|iso,Proprietary|X,Debian,general  video games,Free|Gratis,site active
Source Mage GNU/Linux,Ryan Abrams  Eric Schabell,dev team,date|2002|iso,06211,dunno,date|20171022|iso,Partial|Source Mage Social Contract,Sorcerer,general,Free|Gratis,site active
SteamOS,Valve,Valve,Date|2013|iso,2195[66],dunno,date|20190719|iso,Proprietary|X,Debian,video games,Free|Gratis,site active
SUSE Linux Enterprise,SUSE,SUSE,date|2000|iso,15SP1,dunno,20190812,Proprietary|X,Slackware  Jurix,workstation  server  supercomputer,no|Commercial[67],site active
Tails,dunno,Tails Development Team,date|2009|iso,3142[68],€“[69],20190623,Proprietary|X,Debian,securityfocused aimed for anonymity and privacy,Free|Gratis,site active
Tiny Core Linux,Robert Shingledecker,Team Tiny Core,date|2009|iso,101,dunno,date|20190120|iso,Proprietary|X,Independent  inspired from Damn Small Linux,portable,Free|Gratis,site active
Torramdisk,Anthony G Basile,dev team,date|2008|iso,20170130,dunno,date|20170130|iso,Proprietary|X,Gentoo Linux Embedded  uClibc,Tor server,free|Gratis,site active
Trisquel GNU/Linux,RubÃ©n RodrÃguez PÃ©rez (quidam),RubÃ©n RodrÃguez PÃ©rez (quidam),date|2005|iso,80[70],5 years,date|20180418|iso,Free|100% Free GNU FSDG,Ubuntu LTS,desktop,Free|Gratis,site active
TurnKey GNU/Linux,Alon Swartz  Liraz Siri,TurnKey GNU/Linux Team,date|2008|iso,15x[71],Debian packages as per Debian; TurnKey packages for life of current major version (plus backports per request),date|20190628|iso,Partial|Debian Social Contract and DFSG,Debian,server based software appliance library aiming to balance security and ease of use,Free|Gratis,site active
Ubuntu and Derivatives[72],Canonical Ltd,Canonical Ltd,date|2004|iso,1910[73],Standard releases 1 year  LTS releases 5 years Flavor LTS releases 3 or 5 years,date|20191017|iso,Proprietary|X,Debian,general  server  desktop  supercomputer  IBM mainframe,Free|Gratis,site active
Univention Corporate Server,Univention GmbH,Univention GmbH,date|2004|iso,44[74],up to 6 months for the free Core Edition; if maintenance is purchased  it's up to 7 years  see[75],date|20190312|iso,Proprietary|X,Debian,home  business  and school,Free|Core Edition is gratis,site active
Ututo,Diego Saravia  Daniel Olivera,UTUTO dev team,date|2000|iso,XS 2012,dunno,date|20120427|iso,Free|100% Free GNU FSDG,Ututo XS Gentoo Linux  Ututo UL Ubuntu,general,Free|Gratis,site active
VectorLinux,Robert S Lange,dev team,date|1999|iso,VL 72[76],dunno,20170828,Proprietary|X,Slackware,desktop,free|Gratis,dunno
Void Linux,Juan Romero Pardines,Juan RP and contributors,date|2008|iso,Rolling,Rolling,date|20171007|iso,Proprietary|X,Independent  partially inspired by FreeBSD/NetBSD,general,free|Gratis,site active
Webconverger,Kai Hendry,Webconverger Limited,date|2007|iso,350,dunno,date|20160519|iso,Proprietary|X,Debian,kiosk software  digital signage,no|Commercial,site active
Xandros,Xandros Incorporated,Xandros Incorporated,Date|2001|iso,dunno,dunno,date|20070726|iso,Proprietary|X,Corel Linux,dunno,no|Commercial,site inactive
Zentyal,eBox Technologies,eBox Technologies,date|2005|iso,60[77],dunno,date|20181030|iso,Proprietary|X,Debian  Ubuntu,small business server,Partial|Some editions are gratis,dunno
Zenwalk,JeanPhilippe Guillemin,dev team,date|2004|iso,Rolling[78],dunno,20180309,Proprietary|X,Slackware,general,free|Gratis,site active
Zorin OS,Zorin Group,Zorin Group,2009,OS 15[79],dunno,20190605,Proprietary|X,Ubuntu,general  desktop  windows & maclike experience,Partial|Zorin OS Lite & Core are free  while Business and Ultimate are paid for,site active
Distribution,Founder,Maintainer,Initial release year,Current stable version,Security updates (years),Release date,System distribution commitment,Forked from,Target audience,Cost,Status
