Ariane 3,[empty],Aérospatiale,[empty],<ref name="GSP-OldAriane"/>,[empty]
Ariane 4 40,[empty],Aérospatiale,<ref name="GSP-OldAriane"/>,[empty],to SSO
Ariane 4 42L,[empty],Aérospatiale,<ref name="GSP-OldAriane"/>,[empty],to SSO
Ariane 4 42P,[empty],Aérospatiale,<ref name="GSP-OldAriane"/>,[empty],to SSO
Ariane 4 44L,[empty],Aérospatiale,<ref name="GSP-OldAriane"/>,[empty],to SSO
Ariane 4 44LP,[empty],Aérospatiale,<ref name="GSP-OldAriane"/>,[empty],to SSO
Ariane 4 44P,[empty],Aérospatiale,<ref name="GSP-OldAriane"/>,[empty],to SSO
Ariane 5 G,[empty],EADS Astrium,<ref name="gsp-ariane5"/>,<ref name="gsp-ariane5"/>,[empty]
Ariane 5 G+,[empty],EADS Astrium,[empty],<ref name="gsp-ariane5"/>,[empty]
Ariane 5 GS,[empty],EADS Astrium,<ref></ref>,<ref name="gsp-ariane5"/>,[empty]
Ariane 5 ES,[empty],EADS Astrium,<ref name="ariane5-manual" />,<ref name="gsp-ariane5"/>,[empty]
ASLV,[empty],ISRO<ref></ref>,<ref name="gsp-aslv" />,[empty],[empty]
Athena I,[empty],Lockheed Martin,<ref></ref>,[empty],[empty]
Athena II,[empty],Lockheed Martin,<ref>NASA  Athena Mission Planner’s Guide 26 August 2012</ref>,[empty],[empty]
Atlas-Centaur,[empty],Lockheed,<ref></ref>,<ref></ref>,[empty]
Atlas G,[empty],Lockheed,<ref name="GSP-AC"/>,[empty],to HCO<ref name="GSP-AC"/>
Atlas H/MSD,[empty],Lockheed,<ref>astronautix.com  Atlas H </ref>,[empty],[empty]
Atlas I,[empty],Lockheed Martin,<ref name="GSP-AC"/>,<ref name="GSP-AC"/>,[empty]
Atlas II,[empty],Lockheed Martin,<ref name="GSP-AC"/>,[empty],to HCO<ref name="GSP-AC"/>
Atlas IIA,[empty],Lockheed Martin,<ref name="GSP-AC"/>,[empty],to HCO<ref name="GSP-AC"/>
Atlas IIAS,[empty],Lockheed Martin,<ref name="GSP-AC"/>,[empty],to HCO<ref name="GSP-AC"/>
Atlas IIIA,[empty],Lockheed Martin,<ref name="GSP-AC"/>,[empty],to HCO<ref name="GSP-AC"/>
Atlas IIIB/DEC,}},Lockheed Martin,<ref name="GSP-AC"></ref>,<ref name="GSP-AC"/>,[empty]
Atlas IIIB/SEC,[empty],Lockheed Martin,<ref>astronautix.com  Atlas IIIB </ref>,<ref name="GSP-AC"/>,[empty]
Black Arrow,}},RAE,<ref>Encyclopedia Astronautica  Black Arrow </ref>,[empty],[empty]
Commercial Titan III,[empty],Martin Marietta,<ref>astronautix.com  Titan III </ref>,[empty],[empty]
Delta 0300,[empty],[empty],[empty],<ref></ref>,to SSO<ref></ref>
Delta 0900,[empty],McDonnell Douglas,<ref name="EA-D0900"></ref>,[empty],to SSO<ref name="GSP-Delta"/>
Delta 1410,[empty],McDonnell Douglas,<ref></ref>,[empty],[empty]
Delta 1604,[empty],McDonnell Douglas,<ref></ref>,[empty],[empty]
Delta 1900,[empty],McDonnell Douglas,<ref name="GSP-Delta"/>,[empty],[empty]
Delta 1910,[empty],McDonnell Douglas,<ref></ref>,[empty],[empty]
Delta 1913,[empty],McDonnell Douglas,<ref></ref>,[empty],[empty]
Delta 1914,[empty],McDonnell Douglas,[empty],<ref></ref>,[empty]
Delta 2310,[empty],McDonnell Douglas,<ref></ref>,[empty],[empty]
Delta 2313,[empty],McDonnell Douglas,[empty],[empty],to GEO<ref></ref>
Delta 2910,[empty],McDonnell Douglas,<ref name="GSP-Delta"/>,[empty],[empty]
Delta 2913,[empty],McDonnell Douglas,<ref name="EA-D2913"></ref>,<ref name="EA-D2913"/>,[empty]
Delta 2914,[empty],McDonnell Douglas,[empty],<ref name="GSP-Delta"/>,[empty]
Delta 3910,[empty],McDonnell Douglas,<ref name="GSP-Delta"/>,with PAM-D,[empty]
Delta 3913,[empty],McDonnell Douglas,<ref></ref>,[empty],[empty]
Delta 3914,[empty],McDonnell Douglas,[empty],<ref name="GSP-Delta"/>,[empty]
Delta 3920,[empty],McDonnell Douglas,<ref name="GSP-Delta"/>,with PAM-D,[empty]
Delta 3924,[empty],McDonnell Douglas,[empty],<ref name="GSP-Delta"/>,[empty]
Delta 4925,[empty],McDonnell Douglas,<ref name="EA-D4000"></ref>,<ref name="GSP-Delta"/>,[empty]
Delta 5920,[empty],McDonnell Douglas,<ref name="EA-D5000"></ref>,[empty],[empty]
Delta II 6920,[empty],McDonnell Douglas,<ref name="GSP-Delta"/>,[empty],[empty]
Delta II 6925,[empty],McDonnell Douglas,[empty],<ref name="GSP-Delta"/>,[empty]
Delta II 7320,[empty],Boeing IDS / ULA,<ref name="GSP-Delta"/>,[empty],to SSO
Delta II 7326,[empty],Boeing IDS,[empty],<ref name="GSP-Delta"/>,to TLI 629 to HCO
Delta II 7420,[empty],ULA,<ref name="GSP-Delta"/>,[empty],to SSO
Delta II 7425,[empty],Boeing IDS,[empty],<ref name="GSP-Delta"/>,to HCO
Delta II 7426,[empty],Boeing IDS,[empty],<ref name="GSP-Delta"/>,to TLI 711 to HCO
Delta II 7920,[empty],Boeing IDS / ULA,<ref name="GSP-Delta"/>,[empty],to SSO
Delta II 7925,[empty],Boeing IDS / ULA,[empty],<ref name="GSP-Delta"/>,to TLI 1.265 to HCO
Delta II-H 7920H,[empty],Boeing IDS / ULA,<ref name="GSP-Delta"/>,[empty],[empty]
Delta II-H 7925H,[empty],Boeing IDS / ULA,[empty],[empty],to HCO<ref name="GSP-Delta"/>
Delta III 8930,[empty],Boeing IDS,<ref name="GSP-Delta"/>,[empty],[empty]
Delta IV M,[empty],Boeing IDS,<ref name=d4ppg/>,[empty],to polar
Delta IV M+(4.2),[empty],ULA,<ref name=d4ppg/>,[empty],to polar
Delta IV M+(5.2),[empty],ULA,<ref name=d4ppg/>,[empty],to polar
Delta IV M+(5.4),[empty],ULA,<ref name=d4ppg/>,[empty],to polar
Diamant,[empty],SEREB,<ref></ref><ref>Space Skyrocket  Diamant  retrieved 19 December 2015</ref>,[empty],[empty]
Dnepr,[empty],Yuzhmash,<ref name="GSP-Dnepr"></ref>,[empty],[empty]
Energia<ref group="note">Without Buran  and assuming payload providing orbital insertion</ref>,[empty],NPO Energia,<ref name="Energia"/>,[empty],to GEO<ref name="Energia"/> 32.000 to TLI<ref name="Energia"/>
Energia-Buran,[empty],NPO Energia (Launcher) NPO Molniya (Orbiter),<ref name="Energia"></ref> <ref group="note" name="spaceplane">The US Space Shuttle Transportation System and the Soviet Energia-Buran system  consist of launch vehicle rockets and returnable spaceplane orbiter. Payload values listed here are for the mass of the payload in cargo bay of the spaceplanes  excluding the mass of the spaceplanes themselves.</ref>,[empty],[empty]
Falcon 1,[empty],SpaceX,<ref name=gsp-falcon1></ref>,[empty],[empty]
Falcon 9 v1.0,[empty],SpaceX,<ref name=spacex-falcon9-2011></ref>,<ref name="spacex-falcon9-2011"/>,[empty]
