Format,Filename extension,Created by,Introduced in,Based on,Compression,Integrity check,Recovery record,Encryption supported,Unicode filenames,Modification date resolution,Pre-processing,License
PAQ Family (Several formats),.paq#*  .lpaq#*,Matt Mahoney,2002–2006,Original,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
PEA,.pea,Giorgio Tani,2006,Original  Deflate based compression,[empty],Adler32  CRC32  CRC64  MD5  SHA1  RIPEMD-160  SHA256  SHA512  Whirlpool,[empty],Authenticated Encryption  AES128 and AES256 in EAX mode,system dependent,arbitrary,[empty],[empty]
PIM,.pim,Ilia Muraviev,2004–2008,Original,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
Quadruple D,.qda,Taku Hayase (aka sandman),1997,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
RAR,.rar,Eugene Roshal,1993,Original,[empty],, CRC32  BLAKE2,, Reed–Solomon,, AES-256 for RAR 5.0 archives,, UTF-8,2 s  1 s  6.5536 ms  25.6 µs or 100 ns,[empty],[empty]
RK,.rk,M Software  Ltd.,2004,Original,[empty],[empty],[empty],, AES  Square  Twofish,[empty],1 s,[empty],[empty]
NuFX,.shk,Andy Nicholas,1989,Original,[empty],[empty],[empty],[empty],[empty],1 s,[empty],[empty]
StuffIt (also SIT),.sit,Raymond Lau,1987,[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty],[empty]
StuffIt X (also SITx),.sitx,Aladdin/Allume Systems,2002,[empty],[empty],[empty],[empty],, RC4 Blowfish  AES DES,[empty],[empty],[empty],[empty]
UltraCompressor II,.uc .uc0 .uc2 .ucn .ur2 .ue2,Nico de Vries,1992–1996,LZ77 and Huffman coding,[empty],[empty],[empty],, triple DES,[empty],?,[empty],[empty]
Windows Image,.wim  .swm  .esd,Microsoft,2006,Original,[empty],[empty],[empty],[empty],[empty],100 ns,[empty],[empty]
ZIP (also PKZIP),.zip,Phil Katz,1989,DEFLATE,[empty],[empty],[empty],, AES,[empty],1–2 s  depending on version,[empty],[empty]
ZPAQ,.zpaq,Matt Mahoney,2009,PAQ,[empty],, SHA-1,[empty],, AES-256,[empty],[empty],[empty],[empty]
Format,Filename extension,Created by,Introduced in,Based on,Integrity check,Recovery record,Encryption supported,Unicode filenames,Modification date resolution
Debian package (deb),.deb,Debian,1994 Debian 0.91,ar  tar  and gzip,[empty],[empty],[empty],[empty],1 s
Macintosh Installer,.pkg  .mpkg (metapackage),NeXT,1989 NeXTSTEP 1.0,pax and gzip,[empty],[empty],[empty],[empty],[empty]
RPM Package Manager (RPM),.rpm,Red Hat,1995 Red Hat Linux 1.0,cpio and gzip,[empty],[empty],[empty],[empty],1 s
Slackware Package,.tgz,Patrick Volkerding,1993 Slackware 1.0,tar and gzip,[empty],[empty],[empty],[empty],[empty]
Windows Installer (also MSI),.msi,Microsoft,2000 Windows 2000,OLE Structured Storage  Cabinet and SQL,PKCS7 Authenticode Signature,[empty],[empty],[empty],2 s
Java Archive (JAR),.jar,Sun Microsystems,1997 JDK 1.1,PKZIP,[empty],[empty],[empty],[empty],[empty]
Google Chrome extension package,.crx,Google,2009 (Chrome 4.0),Zip,[empty],[empty],<ref></ref>,[empty],[empty]
Pacman,.pkg.tar.xz  .pkg.tar (no compression),Judd Vinet,2001 (before ArchLinux 0.1),tar and xz (formerly gzip),[empty],[empty],[empty],[empty],1 s
