ClearOS,Peter Baldwin,ClearFoundation,[empty],7.6.0<ref></ref>,[empty],[empty],[empty],RHEL  CentOS,server  gateway  network,[empty],[empty]
CrunchBang Linux,Philip Newborough,Philip Newborough,[empty],11<ref></ref>,[empty],[empty],[empty],Debian,desktop,[empty],[empty]
Damn Small Linux,John Andrews,dev team,[empty],4.4.10<ref></ref>,[empty],[empty],[empty],Debian  Knoppix,lightweight  portable,[empty],[empty]
Debian,Ian Murdock,Debian Project,[empty],10.1<ref></ref>,~3 years<ref name="DebianSupportPeriod" group="g" />,[empty],(main is 100% free  non-free packages are optional)<ref></ref>,Softlanding Linux System (SLS)<ref></ref>,general  server  desktop,[empty],[empty]
Debian Edu,[empty],Debian Project,[empty],9.0+edu0<ref></ref>,~3 years<ref name="DebianSupportPeriod" group="g"/>,[empty],[empty],Debian,schools,[empty],[empty]
Devuan,The "Veteran Unix Admins" (VUA),The "Veteran Unix Admins" (VUA),[empty],2.0.0<ref></ref>,[empty],[empty],<ref>Default ISOs included non-free software</ref>,Debian,general,[empty],[empty]
Deepin,Wuhan Deepin Technology Co.  Ltd.,Wuhan Deepin Technology Co.  Ltd.,[empty],15.10.2<ref></ref>,[empty],[empty],[empty],Debian(current)  Ubuntu  Morphix(formerly),general,[empty],[empty]
Dragora GNU/Linux-Libre,Matias A. Fonzo,Matias A. Fonzo,[empty],3.0-alpha2<ref></ref>,[empty],[empty],[empty],Independent  inspired from Slackware,general,[empty],[empty]
dyne:bolic,Jaromil,Jaromilx,[empty],3.0.0,[empty],[empty],[empty],Debian,multimedia,[empty],[empty]
Elementary OS,Daniel Foré,elementary LLC,[empty],5.0<ref></ref>,[empty],[empty],[empty],Ubuntu  Debian,general,[empty],[empty]
ELinOS,SYSGO,SYSGO,[empty],6.2<ref></ref>,[empty],[empty],[empty],–,embedded systems,[empty],[empty]
Emdebian Grip,Embedded Debian Project,Embedded Debian Project,[empty],3.1,End-of-life,[empty],[empty],Debian,embedded systems,[empty],[empty]
EndeavourOS,Bryan Poerwoatmodjo,EndeavourOS,[empty],Rolling,Rolling,2019-07-15,[empty],Arch Linux,general,[empty],[empty]
Fedora,Fedora Project,Fedora Project,[empty],31<ref></ref>,1 year,[empty],<ref></ref>,Red Hat Linux,general,[empty],[empty]
Freespire,Lindows.com  Inc.,PC/OpenSystems LLC,[empty],4.8<ref></ref>,[empty],[empty],[empty],Ubuntu,desktop,[empty],[empty]
Gentoo Linux,Daniel Robbins,Gentoo Foundation  Inc.,[empty],Rolling,Rolling,Rolling,[empty],Enoch Linux,general,[empty],[empty]
Guix,Ludovic Courtès,Ludovic Courtès  Ricardo Wurmus  the Guix community,[empty],1.0.1<ref></ref>,Rolling,[empty],[empty],–,general,[empty],[empty]
gNewSense,Brian Brazil and Paul O'Malley,Sam Geeraerts with sponsorship from the FSF,[empty],4.0 (Ucclia)<ref name="gns_release"></ref>,[empty],[empty],[empty],Debian,general  server,[empty],[empty]
gnuLinEx,Regional Government of Extremadura,dev team,[empty],LinEx 2013,[empty],[empty],[empty],Debian,desktop,[empty],[empty]
Grml,Michael Prokop,The Grml Team,[empty],2018.12<ref></ref>,[empty],[empty],[empty],Debian,live  maintenance  security  network  forensic  accessibility,[empty],[empty]
Hyperbola GNU/Linux-libre,Hyperbola Founders,Hyperbola Founders,[empty],0.3<ref></ref>,3 years (stable)  5 years (old stable)<ref></ref>,[empty],[empty],Arch Linux,general,[empty],[empty]
Instant WebKiosk,Marco Buratto,Binary Emotions,[empty],16.0<ref></ref>,[empty],[empty],[empty],Debian,web kiosks  digital signage  personal web navigation,[empty],[empty]
Kali Linux,Max Moser  Mati Aharoni  Martin J. Muench,Offensive Security,[empty],2019.2<ref></ref>,[empty],[empty],[empty],Debian,auditing  forensic  security  network,[empty],[empty]
Knoppix,Klaus Knopper,dev team,[empty],8.6<ref></ref>,[empty],[empty],[empty],Debian,live,[empty],[empty]
Kodibuntu,The XBMC Project,Team Kodi,[empty],[empty],[empty],[empty],[empty],Debian  Ubuntu,multimedia,[empty],[empty]
Korora,Chris Smart,Dev Team,[empty],26<ref></ref>,[empty],[empty],[empty],Fedora,desktop,[empty],[empty]
LibreCMC,LibreCMC team,LibreCMC team,[empty],1.4.8<ref></ref>,[empty],[empty],[empty],Merged from LibreWRT,embedded systems,[empty],[empty]
Linspire,Linspire  Inc.,Linspire  Inc.,[empty],7.0 SP1<ref>Linspire - The easiest Desktop Linux: Linspire 7.0 Service Pack 1 released</ref>,[empty],[empty],[empty],Ubuntu,[empty],<ref></ref>,[empty]
Linux Mint,Clement Lefebvre,dev team,[empty],19.2<ref></ref>,~3 years (LMDE); 5 years (main editions),[empty],[empty],Debian(LMDE)  Ubuntu (LTS versions),desktop,[empty],[empty]
Linux Lite,Jerry Bezencon,Linux Lite Team,2012,4.4<ref></ref>,[empty],2018-11-01,[empty],Ubuntu,desktop,[empty],[empty]
Mageia,Mageia Community,mageia.org,[empty],7.1<ref></ref>,1 year,[empty],[empty],Mandriva Linux,general,[empty],[empty]
Mandriva Linux,Mandrakesoft S.A.,Mandriva S.A.,[empty],2011,[empty],[empty],[empty],Red Hat Linux,general,[empty],[empty]
Manjaro Linux,Roland Singer,dev team,<ref></ref>,Rolling,Rolling,Rolling,[empty],Arch Linux,general,[empty],[empty]
MEPIS,Warren Woodford,MEPIS LLC,[empty],11.9.90,[empty],[empty],[empty],Debian,desktop  server,[empty],[empty]
Musix GNU+Linux,Musix team,Musix team,[empty],3.0.1,[empty],[empty],[empty],Debian,multimedia,[empty],[empty]
Netrunner,Blue Systems,dev team,[empty],2018.08<ref></ref>,as per Debian Testing or Manjaro (rolling),[empty],[empty],Debian  Manjaro/Arch,desktop,[empty],[empty]
NixOS,Eelco Dolstra and Armijn Hemel,NixOS Foundation,[empty],19.03,0.5 years,[empty],[empty],–,general  server  desktop,[empty],[empty]
Novell Open Enterprise Server,Novell,Novell  Inc. dev team,[empty],OES 2018 SP1,[empty],[empty],[empty],SUSE Linux Enterprise Server,server,<ref></ref>,[empty]
OpenELEC,Stephan Raue  OpenELEC Team,OpenELEC Team,[empty],8.0.4,[empty],[empty],[empty],Kodi,multimedia,[empty],[empty]
openSUSE,SUSE Linux  Novell,openSUSE Project,[empty],Leap 15.1<ref></ref>,3 years<ref></ref>,[empty],[empty],–,general  desktop,[empty],[empty]
OpenWrt,[empty],OpenWrt team,[empty],18.06.4<ref></ref>,[empty],[empty],[empty],–,embedded systems,[empty],[empty]
OpenMandriva Lx,OpenMandriva Association,OpenMandriva Association,[empty],4.0,[empty],[empty],[empty],Mandriva Linux,general,[empty],[empty]
Oracle Linux,Oracle Corporation,Oracle Corporation,[empty],7.6<ref></ref>,[empty],[empty],[empty],Red Hat Enterprise Linux (RHEL),server,[empty],[empty]
Parabola GNU/Linux-libre,Parabola Hackers,Parabola Hackers,[empty],Rolling<ref></ref>,Rolling,[empty],[empty],Arch Linux,general,[empty],[empty]
Pardus,Scientific and Technological Research Council of Turkey (TÜBİTAK),TÜBİTAK,[empty],17.5<ref></ref>,[empty],[empty],[empty],Gentoo (2011.2) <br /> Debian,general,[empty],[empty]
Parsix,Alan Baghumian,Parsix Project,[empty],8.15,[empty],[empty],[empty],Debian,desktop,[empty],[empty]
PCLinuxOS,Bill Reynolds,dev team,[empty],2019.06<ref></ref>,Semi-rolling,[empty],[empty],Mandriva Linux,desktop,[empty],[empty]
Pop! OS,Carl Ritchell,System76,[empty],19.10,[empty],[empty],[empty],Ubuntu,desktop  server  laptop,[empty],[empty]
Pentoo,Michael Zanetta  Rick Farina  Jens Pranaitis,Pentoo,[empty],2019.1,[empty],[empty],[empty],Gentoo Linux,auditing  security,[empty],[empty]
Porteus,Fanthom,Porteus,[empty],4.0<ref></ref>,[empty],[empty],[empty],Slackware,lightweight  portable,[empty],[empty]
Puppy Linux,Barry Kauler,Puppy Foundation,[empty],8.0<ref></ref>,[empty],[empty],[empty],Independent  inspired from Vector linux,lightweight  portable,[empty],[empty]
Qubes OS,Joanna Rutkowska,Invisible Things Lab,[empty],4.0.1<ref></ref>,[empty],[empty],[empty],Xen and Fedora,security by compartmentalization  desktop,[empty],[empty]
Red Hat Enterprise Linux (RHEL),Red Hat,Red Hat,[empty],8.0,10 years<ref></ref>,[empty],[empty],Red Hat Linux  Fedora,server  workstation,<ref></ref><ref></ref>,[empty]
Red Hat Linux,Red Hat,Red Hat,[empty],9,[empty],2003-03-31,[empty],–,server  workstation,[empty],[empty]
ROSA,[empty],LLC NTC IT ROSA,[empty],R11<ref></ref>,[empty],2019-03-15,[empty],Mandriva,server  general,[empty],[empty]
Rocks Cluster Distribution,UCSD Supercomputing Center  Clustercorp,UCSD Supercomputing Center  Clustercorp,[empty],7.0,[empty],2015-12-01,[empty],Red Hat Linux,server  workstation,[empty],[empty]
Sabayon Linux,Fabio Erculiani,dev team,[empty],19.03<ref></ref>,[empty],2019-03-31,[empty],Gentoo Linux,general,[empty],[empty]
Salix OS,Cyrille Pontvieux  George Vlahavas  Pierrick Le Brun  Thorsten Mühlfelder,Salix team,[empty],14.2,[empty],[empty],[empty],Slackware,general,[empty],[empty]
Scientific Linux,CERN  Fermilab,dev team,[empty],7.6<ref></ref>,[empty],2018-12-03,[empty],Red Hat Linux  Red Hat Enterprise Linux (RHEL),server  workstation,[empty],[empty]
Slackware,Patrick Volkerding,dev team,[empty],14.2<ref name="Slackware 14.2"></ref>,[empty],2016-06-30,[empty],Softlanding Linux System (SLS),general,[empty],[empty]
Slax,Tomas Matejicek,Tomas Matejicek,[empty],9.9.1<ref></ref>,[empty],[empty],[empty],Debian  Slackware (until Slax 9),live,[empty],[empty]
SliTaz GNU/Linux,Christophe Lincoln,dev team,[empty],Rolling,Rolling,[empty],[empty],Independent,portable,[empty],[empty]
Solus,Ikey Doherty,dev team,[empty],Rolling,Rolling,[empty],[empty],–,desktop,[empty],[empty]
SolydXK,Arjen Balfoort,dev team,[empty],201902<ref></ref>,Debian packages as per Debian,[empty],[empty],Debian,desktop,[empty],[empty]
SparkyLinux,[empty],Sparky Linux team,[empty],5.7.1<ref></ref>,[empty],[empty],[empty],Debian,general  video games,[empty],[empty]
Source Mage GNU/Linux,Ryan Abrams  Eric Schabell,dev team,[empty],0.62-11,[empty],[empty],[empty],Sorcerer,general,[empty],[empty]
SteamOS,Valve Corporation,Valve Corporation,[empty],2.195<ref></ref>,[empty],[empty],[empty],Debian,video games,[empty],[empty]
SUSE Linux Enterprise,SUSE,Microfocus,[empty],15SP1,[empty],2017-09-07,[empty],Slackware  Jurix,workstation  server  supercomputer,<ref></ref>,[empty]
Tails,[empty],Tails Development Team,[empty],3.14.2<ref></ref>,–<ref name="Tails Releases" group="g"/>,2019-06-23,[empty],Debian,security-focused aimed for anonymity and privacy,[empty],[empty]
Tiny Core Linux,Robert Shingledecker,Team Tiny Core,[empty],10.1,[empty],[empty],[empty],Independent  inspired from Damn Small Linux,portable,[empty],[empty]
Tor-ramdisk,Anthony G. Basile,dev team,[empty],20170130,[empty],[empty],[empty],Gentoo Linux Embedded  uClibc,Tor server,[empty],[empty]
Trisquel GNU/Linux,Rubén Rodr�guez Pérez (quidam),Rubén Rodr�guez Pérez (quidam),[empty],8.0<ref name="Trisquel Release" group="g"/>,5 years,[empty],[empty],Ubuntu LTS,desktop,[empty],[empty]
TurnKey GNU/Linux,Alon Swartz  Liraz Siri,TurnKey GNU/Linux Team,[empty],15.x<ref></ref>,Debian packages as per Debian; TurnKey packages for life of current major version (plus backports per request),[empty],[empty],Debian,server based software appliance library aiming to balance security and ease of use,[empty],[empty]
Ubuntu and Derivatives<ref name="ubuntu"></ref>,Canonical Ltd.,Canonical Ltd.,[empty],19.10<ref></ref>,Standard releases 1 year  LTS releases 5 years. Flavor LTS releases 3 or 5 years.,[empty],[empty],Debian,general  server  desktop  supercomputer  IBM mainframe,[empty],[empty]
Univention Corporate Server,Univention GmbH,Univention GmbH,[empty],4.4<ref></ref>,up to 6 months for the free Core Edition; if maintenance is purchased  it's up to 7 years  see:<ref></ref>,[empty],[empty],Debian,home  business  and school,[empty],[empty]
Ututo,Diego Saravia  Daniel Olivera,UTUTO dev team,[empty],XS 2012,[empty],[empty],[empty],Ututo XS: Gentoo Linux  Ututo UL: Ubuntu,general,[empty],[empty]
VectorLinux,Robert S. Lange,dev team,[empty],VL 7.2<ref></ref>,[empty],2017-08-28,[empty],Slackware,desktop,[empty],[empty]
Void Linux,Juan Romero Pardines,Juan RP and contributors,[empty],Rolling,Rolling,[empty],[empty],Independent  partially inspired by FreeBSD/NetBSD,general,[empty],[empty]
Webconverger,Kai Hendry,Webconverger Limited,[empty],35.0,[empty],[empty],[empty],Debian,kiosk software  digital signage,[empty],[empty]
Xandros,Xandros Incorporated,Xandros Incorporated,[empty],[empty],[empty],[empty],[empty],Corel Linux,[empty],[empty],[empty]
Zentyal,eBox Technologies,eBox Technologies,[empty],6.0<ref></ref>,[empty],[empty],[empty],Debian  Ubuntu,small business server,[empty],[empty]
Zenwalk,Jean-Philippe Guillemin,dev team,[empty],Rolling<ref name="zenwalk_release"></ref>,[empty],2018-03-09,[empty],Slackware,general,[empty],[empty]
Zorin OS,Zorin Group,Zorin Group,2009,OS 15<ref></ref>,[empty],2019-06-05,[empty],Ubuntu,general  desktop  windows & mac-like experience,[empty],[empty]
Distribution,Founder,Maintainer,Initial release year,Current stable version,Security updates (years),Release date,System distribution commitment,Forked from,Target audience,Cost,Status
